COLUMN,data_type,max,min,name_type,nb_categories,val_range
CARERAGE_2,integer,1982.0,16.0,integer,,16.0-1982.0
CARERSEX_2,categorical,1.0,0.0,select_one CARERSEX_2,2.0,"female,male"
CARERREL_2,categorical,8.0,1.0,select_one CARERREL_2,8.0,"spouse,son/daughter,son/daughter in law,sister/brother,other relative,friend,neighbor,other  "
Q366a_2,text, , ,text,,"24, شهر24, 3اشهر, 120, منذ سنة تقريبا, 11, 0, 1, من سنتين, نعم  منذ 12 سنه   تعرض للجلطه, من عشره أعوام ولم أستفيد ابدا, 40, نعم,  منذ سنة تقريبا, 10, 4"
ABUSE_2,categorical,0.0,0.0,select_one ABUSE_2,5.0,"never,abuse from caregiver,abuse from elderly ,reciprocal abuse ,don’t know "
CJOBCAT_2,categorical,11.0,1.0,select_one CJOBCAT_2,12.0,"other,manger/ administrator ,specilized ,specilized assistant ,administrative employee,shop owner ,Craftsman ,craftsman part-timer,worker,farm man,military job,no answer"
HELPHOUR_2,integer,97.0,0.0,integer,,0.0-97.0
IRDISCR_2,boolean,9.0,0.0,select_one yes_no,2.0,"no,yes"
Chin_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
HELPCUT1_2,categorical,0.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
HELPCUT2_2,categorical,1.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
HELPCUT3_2,categorical,98.0,1.0,select_one HELPCUT3_2,4.0,"sometime,regularly ,always ,don’t know "
CKIN_2_SPE_2,text, , ,text,,"from work, رسم من المعاينات, taxi driver, مساعده ماديه من الابناء, من الزراعه, shop, employee, مدخول من الدكان, hand crafts, his daughter, عمل من خلال السفر من فتره طويله, work"
CINCOM1_2,categorical,99.0,1.0,select_one CINCOM1_2,5.0,"less than 500,000 LBP,between 500,000 and 999,000 LBP,between 1,000,000 and 3,000,000 LBP,more than 3,000,000 LBP,no answer"
CKINCOM_2,categorical, , ,select_multiple CKINCOM_2,9.0,"Pension from the state,Pension from the job ,pension for disability ,household income ,property/ rented income ,Salary from paid employment,benefits from the caregiver,savings ,other"
CKINCOM_2/1,not found,1.0,1.0,not found,,1.0-1.0
CKINCOM_2/2,not found,3.0,1.0,not found,,1.0-3.0
CKINCOM_2/3,not found,3.0,1.0,not found,,1.0-3.0
CKINCOM_2/4,not found,1.0,1.0,not found,,1.0-1.0
CKINCOM_2/5,not found,1.0,1.0,not found,,1.0-1.0
CKINCOM_2/6,not found,1.0,1.0,not found,,1.0-1.0
CKINCOM_2/7,not found,1.0,1.0,not found,,1.0-1.0
CKINCOM_2/8,not found,1.0,1.0,not found,,1.0-1.0
agepart,integer,1952.0,0.0,integer,,0.0-1952.0
ageinfo,integer,1962.0,65.0,integer,,65.0-1962.0
agedoc,integer,1953.0,65.0,integer,,65.0-1953.0
agedisc,categorical,1.0,0.0,select_one choose,2.0,"No,Yes"
ageexpl,categorical,1.0,0.0,select_one choose,2.0,"No,Yes"
age1,integer,92.0,1.0,integer,,1.0-92.0
agediscy,categorical,1.0,0.0,select_one disc_y,2.0,"2 years or less,more than 2 years"
age2,integer,89.0,65.0,integer,,65.0-89.0
accstat,categorical,2.0,1.0,select_one stat,2.0,"Owner-occupied,Rented"
rentwk,integer,750000.0,0.0,integer,,0.0-750000.0
rooms,integer,6.0,0.0,integer,,0.0-6.0
adults,integer,20.0,0.0,integer,,0.0-20.0
child,integer,97.0,0.0,integer,,0.0-97.0
res_total,calculate,103.0,0.0,calculate,,0.0-103.0
corage1,integer,1941.0,0.0,integer,,0.0-1941.0
corsex1,categorical,2.0,1.0,select_one gender,2.0,"Female,Male"
correl1,categorical,6.0,1.0,select_one relation,11.0,"Spouse,Son/Daughter,Son/Daughter-in-law,Sibling,grandchild,Other relative,Friend,neighbor,Other,Not known,No further co-residents to code"
coredu1,categorical,6.0,1.0,select_one education,6.0,"None,reads and writes,completed primary school,completed intermediate school,completed high school,completed university"
corage2,integer,70741.0,0.0,integer,,0.0-70741.0
corsex2,categorical,2.0,1.0,select_one gender,2.0,"Female,Male"
correl2,categorical,9.0,1.0,select_one relation,11.0,"Spouse,Son/Daughter,Son/Daughter-in-law,Sibling,grandchild,Other relative,Friend,neighbor,Other,Not known,No further co-residents to code"
coredu2,categorical,6.0,1.0,select_one education,6.0,"None,reads and writes,completed primary school,completed intermediate school,completed high school,completed university"
corage3,integer,97.0,0.0,integer,,0.0-97.0
corsex3,categorical,2.0,1.0,select_one gender,2.0,"Female,Male"
correl3,categorical,11.0,1.0,select_one relation,11.0,"Spouse,Son/Daughter,Son/Daughter-in-law,Sibling,grandchild,Other relative,Friend,neighbor,Other,Not known,No further co-residents to code"
coredu3,categorical,6.0,1.0,select_one education,6.0,"None,reads and writes,completed primary school,completed intermediate school,completed high school,completed university"
corage4,integer,97.0,3.0,integer,,3.0-97.0
corsex4,categorical,2.0,1.0,select_one gender,2.0,"Female,Male"
correl4,categorical,11.0,1.0,select_one relation,11.0,"Spouse,Son/Daughter,Son/Daughter-in-law,Sibling,grandchild,Other relative,Friend,neighbor,Other,Not known,No further co-residents to code"
coredu4,categorical,6.0,1.0,select_one education,6.0,"None,reads and writes,completed primary school,completed intermediate school,completed high school,completed university"
corage5,integer,97.0,0.0,integer,,0.0-97.0
corsex5,categorical,2.0,1.0,select_one gender,2.0,"Female,Male"
correl5,categorical,11.0,1.0,select_one relation,11.0,"Spouse,Son/Daughter,Son/Daughter-in-law,Sibling,grandchild,Other relative,Friend,neighbor,Other,Not known,No further co-residents to code"
coredu5,categorical,6.0,1.0,select_one education,6.0,"None,reads and writes,completed primary school,completed intermediate school,completed high school,completed university"
corage6,integer,97.0,0.0,integer,,0.0-97.0
corsex6,categorical,2.0,1.0,select_one gender,2.0,"Female,Male"
correl6,categorical,11.0,1.0,select_one relation,11.0,"Spouse,Son/Daughter,Son/Daughter-in-law,Sibling,grandchild,Other relative,Friend,neighbor,Other,Not known,No further co-residents to code"
coredu6,categorical,4.0,1.0,select_one education,6.0,"None,reads and writes,completed primary school,completed intermediate school,completed high school,completed university"
