COLUMN,description,perc_missing,perc_erroneous
IRDISCR_2,"Interviewer rating: was there any discrepancy between stated birth date and stated age?
",0,0
Chin_2,what is this called (interviewer shows a chin),0,0
LEARN1_2,please repeat the words you can remember (first trial),0,2.218114603
LEARN2_2,please repeat the words you can remember (second trial),0,1.293900185
LEARN3_2,please repeat the words you can remember (third trial),0,0
NAME_2,my name is x can you please repeat it,0,0
PENCIL_2,what is this called (interviewer shows a pencil),0,0
WATCH_2,what is this called (interviewer shows a watch),0,0
CHAIR_2,what is this called (interviewer shows a chair),0,0
SHOES_2,what is this called (interviewer shows a shoe),0,0
ELBOW_2,what is this called (interviewer shows an elbow),0,0
SHOULD_2,what is this called (interviewer shows a shoulder),0,0
HAMMER_2,what is the function of a hammer,0,0
PRAY_2,what do people do at the church/ mosque,0,0
CHEMIST_2,where do we go to buy medicine/drugs,0,0
REPEAT_2,please repeat this proverb (it might be difficult to pronounce for some),0,0
RECALL_2,number of words remembered correctly,0,0
NRECALL_2,do you remember my name (interviewer's),0,0
ANIMALS_2,participant was able to mention the names of the animals during the one minute provided,0,136.2292052
WORDIMM_2,"3-word list recall (boat, house, fish)",0,0
TRIALNO_2,number of trials needed by participant to remember all 3 words,0,0
TOWN_2,what is the name of this city/village you are currently living in,0,0
CHIEF_2,what is the name of the current president,0,0
STREET_2,give me the names of 2 streets near your home,0,0
STORE_2,where is the local market shop located,0,0
ADDRESS_2,what is your homeaddress,0,0
WORDDEL_2,do you remember the 3 word-list,0,0
LONGMEM_2,what was the name of the elected president who was assasinated during the israeli occupation in 1982,0,0
MONTH_2,In what month are we,0,0
YEAR_2,in what year are we,0,0
SEASON_2,in what season are we,0,0
NOD_2,please move your head as if you are giving a nod,0,0
POINT_2,can you point out to the window and the door in this room,0,0
PAPER_2,score of paper folding/ handling,0,0
CIRCLE_2,score of drawing the circle,0,0
PENTAG_2,score of drawing the pentagones,0,0
STORY_2,score of repeating story,0,0
Q11_2,Cannot repeat interviewer’s name correctly even after three repetitions,0,0.924214418
Q21_2,Cannot spell both his/her first and last names correctly,0,15.34195933
Q31_2,States or indicates by gesture he/she does not know what year he/she was born,0,1.293900185
Q32_2,"year of birth is incomplete, irrelevant or no reply",0,1.478743068
Q41_2,States or indicates by  gesture he/she does not know how old he/she is,0,1.109057301
Q42_2,"age is incomplete, irrelevant or no reply",0,1.293900185
Q71_2,evaluate: there is an error in the date of the week provided,0,4.436229205
Q72_2,evaluate: there is an error in the month provided ,0,4.621072089
Q73_2,evaluate: the participants says/points out that he doesn't know the month,0,2.402957486
Q74_2,"evaluate: at least some answers are incomplete, irrelevant or no answer",0,2.218114603
Q75_2,evaluate: error in the year provided,0,4.066543438
Q76_2,evaluate: the participant says/points out that he doesn't know the year,0,1.478743068
IRHOME_2,did the interview take place in the participant's home,0,0.184842884
Q81_2,participant gave the wrong or incomplete address,0,0.554528651
Q82_2,the participant says/points our that he/she doesn't know,0,0.739371534
Q83_2,"incomplete, irrelevant, or no answer",0,1.109057301
Q101_2,"give a positive answer and a short explanation like ""you examined me yesterday"". This answer is wrong",0,2.033271719
Q102_2,mentioned wrong events (not imaginary and not specific in a wrong way),0,0.924214418
Q111_2,observation: the participant speaks without a purpose. Did not get to the point being made,0,0.739371534
Q171_2,do you have children,0,0
Q181_2,depressed or bothered by the relationship with children,0,0.739371534
Q191_2,subjective fear or anxiety our of proportion to the event if any that provoked the feeling.,0,0.369685767
