model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_29908,0.98299,0.96600,0.93063,0.93864,0.99400,0.93800,nan,0.96600,0.94129,0.99400,0.96693,0.96600
model_26704,0.98037,0.98250,0.96429,0.97570,0.97900,0.98600,0.9797302945844655,0.98250,0.98590,0.97900,0.98244,0.98250
model_29896,0.97918,0.98100,0.96123,0.97326,0.97800,0.98400,nan,0.98100,0.98390,0.97800,0.98094,0.98100
model_30530,0.97917,0.96700,0.93267,0.94320,0.98700,0.94700,nan,0.96700,0.94904,0.98700,0.96765,0.96700
model_10156,0.97841,0.97750,0.95409,0.96607,0.97900,0.97600,0.8552992828437035,0.97750,0.97607,0.97900,0.97753,0.97750
model_29928,0.97780,0.97750,0.95409,0.96653,0.97800,0.97700,nan,0.97750,0.97702,0.97800,0.97751,0.97750
model_196,0.97761,0.97700,0.95307,0.96557,0.97800,0.97600,nan,0.97700,0.97605,0.97800,0.97702,0.97700
model_30540,0.97748,0.97200,0.94287,0.95484,0.98100,0.96300,nan,0.97200,0.96365,0.98100,0.97225,0.97200
model_30496,0.97717,0.97900,0.95715,0.97033,0.97600,0.98200,nan,0.97900,0.98189,0.97600,0.97894,0.97900
model_7116,0.97682,0.96250,0.92349,0.93555,0.98600,0.93900,nan,0.96250,0.94174,0.98600,0.96336,0.96250
model_31414,0.97662,0.96200,0.92246,0.93467,0.98600,0.93800,nan,0.96200,0.94084,0.98600,0.96289,0.96200
model_32668,0.97622,0.97500,0.94899,0.96223,0.97700,0.97300,0.8599558137500699,0.97500,0.97311,0.97700,0.97505,0.97500
model_30524,0.97600,0.97600,0.95103,0.96458,0.97600,0.97600,nan,0.97600,0.97600,0.97600,0.97600,0.97600
model_7108,0.97542,0.96200,0.92246,0.93545,0.98400,0.94000,nan,0.96200,0.94253,0.98400,0.96282,0.96200
model_29836,0.97537,0.97750,0.95409,0.96836,0.97400,0.98100,0.885256358711733,0.97750,0.98087,0.97400,0.97742,0.97750
model_30506,0.97489,0.95750,0.91328,0.92677,0.98600,0.92900,nan,0.95750,0.93283,0.98600,0.95868,0.95750
model_15958,0.97476,0.96500,0.92859,0.94202,0.98100,0.94900,0.8431196155210421,0.96500,0.95058,0.98100,0.96555,0.96500
model_24518,0.97442,0.97350,0.94593,0.96028,0.97500,0.97200,nan,0.97350,0.97208,0.97500,0.97354,0.97350
model_30544,0.97439,0.97500,0.94899,0.96358,0.97400,0.97600,0.9839293016981678,0.97500,0.97595,0.97400,0.97497,0.97500
model_29920,0.97436,0.97650,0.95205,0.96690,0.97300,0.98000,nan,0.97650,0.97986,0.97300,0.97642,0.97650
model_39838,0.97430,0.96850,0.93573,0.94965,0.97800,0.95900,nan,0.96850,0.95976,0.97800,0.96880,0.96850
model_31420,0.97419,0.97450,0.94797,0.96263,0.97400,0.97500,nan,0.97450,0.97497,0.97400,0.97449,0.97450
model_31436,0.97417,0.95250,0.90308,0.91743,0.98800,0.91700,nan,0.95250,0.92250,0.98800,0.95413,0.95250
model_7084,0.97400,0.97400,0.94695,0.96168,0.97400,0.97400,0.8001267336882077,0.97400,0.97400,0.97400,0.97400,0.97400
model_30482,0.97400,0.97400,0.94695,0.96168,0.97400,0.97400,nan,0.97400,0.97400,0.97400,0.97400,0.97400
model_31398,0.97400,0.97400,0.94695,0.96168,0.97400,0.97400,nan,0.97400,0.97400,0.97400,0.97400,0.97400
model_7132,0.97399,0.96300,0.92451,0.93842,0.98100,0.94500,nan,0.96300,0.94691,0.98100,0.96365,0.96300
model_30304,0.97378,0.97500,0.94899,0.96403,0.97300,0.97700,0.9828998899786784,0.97500,0.97691,0.97300,0.97495,0.97500
model_40222,0.97376,0.95300,0.90410,0.91864,0.98700,0.91900,0.8693750076276564,0.95300,0.92416,0.98700,0.95455,0.95300
model_30498,0.97358,0.97450,0.94797,0.96308,0.97300,0.97600,nan,0.97450,0.97593,0.97300,0.97446,0.97450
model_29616,0.97321,0.95000,0.89798,0.91320,0.98800,0.91200,nan,0.95000,0.91822,0.98800,0.95183,0.95000
model_12640,0.97318,0.95150,0.90104,0.91609,0.98700,0.91600,0.9267749907398327,0.95150,0.92157,0.98700,0.95316,0.95150
model_9808,0.97316,0.96400,0.92655,0.94103,0.97900,0.94900,nan,0.96400,0.95049,0.97900,0.96453,0.96400
model_29006,0.97311,0.96700,0.93267,0.94731,0.97700,0.95700,nan,0.96700,0.95784,0.97700,0.96733,0.96700
model_14640,0.97310,0.95600,0.91022,0.92491,0.98400,0.92800,nan,0.95600,0.93182,0.98400,0.95720,0.95600
model_30484,0.97300,0.97300,0.94491,0.96023,0.97300,0.97300,nan,0.97300,0.97300,0.97300,0.97300,0.97300
model_30604,0.97297,0.97450,0.94797,0.96353,0.97200,0.97700,0.9810802053379756,0.97450,0.97688,0.97200,0.97444,0.97450
model_11632,0.97280,0.96150,0.92144,0.93613,0.98000,0.94300,nan,0.96150,0.94503,0.98000,0.96220,0.96150
model_20608,0.97269,0.96750,0.93369,0.94865,0.97600,0.95900,nan,0.96750,0.95969,0.97600,0.96777,0.96750
model_24208,0.97266,0.94700,0.89186,0.90783,0.98900,0.90500,nan,0.94700,0.91236,0.98900,0.94914,0.94700
model_9784,0.97258,0.97350,0.94593,0.96163,0.97200,0.97500,0.9688617947981759,0.97350,0.97492,0.97200,0.97346,0.97350
model_820,0.97258,0.97350,0.94593,0.96163,0.97200,0.97500,nan,0.97350,0.97492,0.97200,0.97346,0.97350
model_8032,0.97247,0.94650,0.89084,0.90699,0.98900,0.90400,nan,0.94650,0.91152,0.98900,0.94868,0.94650
model_8888,0.97239,0.97300,0.94491,0.96068,0.97200,0.97400,0.9668246459234789,0.97300,0.97395,0.97200,0.97297,0.97300
model_26164,0.97236,0.97450,0.94797,0.96399,0.97100,0.97800,0.9640134929563814,0.97450,0.97784,0.97100,0.97441,0.97450
model_26924,0.97217,0.97400,0.94695,0.96303,0.97100,0.97700,nan,0.97400,0.97686,0.97100,0.97392,0.97400
model_26320,0.97214,0.97550,0.95001,0.96637,0.97000,0.98100,nan,0.97550,0.98079,0.97000,0.97536,0.97550
model_29900,0.97203,0.97050,0.93981,0.95552,0.97300,0.96800,nan,0.97050,0.96816,0.97300,0.97057,0.97050
model_30502,0.97200,0.97200,0.94287,0.95878,0.97200,0.97200,nan,0.97200,0.97200,0.97200,0.97200,0.97200
model_220,0.97200,0.97200,0.94287,0.95878,0.97200,0.97200,nan,0.97200,0.97200,0.97200,0.97200,0.97200
model_24298,0.97200,0.97200,0.94287,0.95878,0.97200,0.97200,nan,0.97200,0.97200,0.97200,0.97200,0.97200
model_29406,0.97178,0.97300,0.94491,0.96113,0.97100,0.97500,0.9839636427032735,0.97300,0.97490,0.97100,0.97295,0.97300
model_37854,0.97178,0.97300,0.94491,0.96113,0.97100,0.97500,0.8452404576084542,0.97300,0.97490,0.97100,0.97295,0.97300
model_4504,0.97175,0.97450,0.94797,0.96445,0.97000,0.97900,0.979885309244457,0.97450,0.97881,0.97000,0.97438,0.97450
model_29014,0.97173,0.95400,0.90614,0.92182,0.98300,0.92500,nan,0.95400,0.92911,0.98300,0.95530,0.95400
model_30508,0.97171,0.93350,0.86431,0.88379,0.99600,0.87100,nan,0.93350,0.88533,0.99600,0.93741,0.93350
model_7120,0.97158,0.97250,0.94389,0.96018,0.97100,0.97400,nan,0.97250,0.97392,0.97100,0.97246,0.97250
model_7098,0.97139,0.97200,0.94287,0.95923,0.97100,0.97300,nan,0.97200,0.97295,0.97100,0.97197,0.97200
