model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
29908,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64",softmax,20
26704,10,5,10,0.001,1.0,1.0,8,1000,5,30,"128, 64, 64",relu,20
29896,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64",softmax,20
30530,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",softmax,20
10156,10,5,10,0.001,1.0,1.0,4,5000,5,30,"128, 64",swish,20
29928,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64",softmax,20
196,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
30540,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",softmax,20
30496,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",softmax,20
7116,10,5,10,0.001,1.0,1.0,4,1000,15,20,"128, 64, 64",softmax,20
31414,10,5,10,0.001,1.0,1.0,8,1000,15,20,"128, 64, 64",softmax,20
32668,10,5,10,0.001,1.0,1.0,8,5000,5,10,"128, 64",swish,20
30524,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",softmax,20
7108,10,5,10,0.001,1.0,1.0,4,1000,15,20,"128, 64, 64",softmax,20
29836,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64",tanh,20
30506,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",softmax,20
15958,10,5,10,0.001,1.0,1.0,4,5000,15,30,"128, 64, 64",relu,20
24518,10,5,10,0.001,1.0,1.0,8,1000,5,10,"128, 64",softmax,20
30544,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",swish,20
29920,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64",softmax,20
39838,10,5,10,0.001,1.0,1.0,8,5000,15,30,"128, 64",softmax,20
31420,10,5,10,0.001,1.0,1.0,8,1000,15,20,"128, 64, 64",softmax,20
31436,10,5,10,0.001,1.0,1.0,8,1000,15,20,"128, 64, 64",softmax,20
7084,10,5,10,0.001,1.0,1.0,4,1000,15,20,"128, 64, 64",softmax,20
30482,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",softmax,20
31398,10,5,10,0.001,1.0,1.0,8,1000,15,20,"128, 64, 64",softmax,20
7132,10,5,10,0.001,1.0,1.0,4,1000,15,20,"128, 64, 64",softmax,20
30304,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",relu,20
30498,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",softmax,20
29616,10,5,10,0.001,1.0,1.0,8,1000,10,30,"128, 64, 64",softmax,20
12640,10,5,10,0.001,1.0,1.0,4,5000,10,30,"128, 64",relu,20
9808,10,5,10,0.001,1.0,1.0,4,5000,5,20,"128, 64, 64",softmax,20
29006,10,5,10,0.001,1.0,1.0,8,1000,10,30,"128, 64",softmax,20
14640,10,5,10,0.001,1.0,1.0,4,5000,15,20,"128, 64",softmax,20
30484,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",softmax,20
30604,10,5,10,0.001,1.0,1.0,8,1000,15,20,"128, 64",relu,20
11632,10,5,10,0.001,1.0,1.0,4,5000,10,10,"128, 64, 64",softmax,20
20608,10,5,10,0.001,1.0,1.0,4,10000,10,20,"128, 64, 64",softmax,20
24208,10,5,10,0.001,1.0,1.0,4,10000,15,30,"128, 64, 64",softmax,20
9784,10,5,10,0.001,1.0,1.0,4,5000,5,20,"128, 64, 64",softmax,20
820,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
8032,10,5,10,0.001,1.0,1.0,4,1000,15,30,"128, 64, 64",softmax,20
8888,10,5,10,0.001,1.0,1.0,4,5000,5,10,"128, 64, 64",softmax,20
26164,10,5,10,0.001,1.0,1.0,8,1000,5,30,"128, 64",sigmoid,20
26924,10,5,10,0.001,1.0,1.0,8,1000,5,30,"128, 64, 64",softmax,20
26320,10,5,10,0.001,1.0,1.0,8,1000,5,30,"128, 64",softmax,20
29900,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64",softmax,20
30502,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",softmax,20
220,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
24298,10,5,10,0.001,1.0,1.0,4,10000,15,30,"128, 64, 64",swish,20
29406,10,5,10,0.001,1.0,1.0,8,1000,10,30,"128, 64, 64",relu,20
37854,10,5,10,0.001,1.0,1.0,8,5000,15,10,"128, 64",relu,20
4504,10,5,10,0.001,1.0,1.0,4,1000,10,30,"128, 64",relu,20
29014,10,5,10,0.001,1.0,1.0,8,1000,10,30,"128, 64",softmax,20
30508,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",softmax,20
7120,10,5,10,0.001,1.0,1.0,4,1000,15,20,"128, 64, 64",softmax,20
7098,10,5,10,0.001,1.0,1.0,4,1000,15,20,"128, 64, 64",softmax,20
36692,10,5,10,0.001,1.0,1.0,8,5000,10,20,"128, 64, 64",sigmoid,20
30510,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",softmax,20
23104,10,5,10,0.001,1.0,1.0,4,10000,15,20,"128, 64, 64",relu,20
30494,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",softmax,20
23320,10,5,10,0.001,1.0,1.0,4,10000,15,20,"128, 64, 64",softmax,20
26304,10,5,10,0.001,1.0,1.0,8,1000,5,30,"128, 64",softmax,20
29600,10,5,10,0.001,1.0,1.0,8,1000,10,30,"128, 64, 64",softmax,20
1948,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",tanh,20
15996,10,5,10,0.001,1.0,1.0,4,5000,15,30,"128, 64, 64",sigmoid,20
186,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
30492,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",softmax,20
29630,10,5,10,0.001,1.0,1.0,8,1000,10,30,"128, 64, 64",softmax,20
31210,10,5,10,0.001,1.0,1.0,8,1000,15,20,"128, 64, 64",relu,20
39586,10,5,10,0.001,1.0,1.0,8,5000,15,20,"128, 64, 64",swish,20
21532,10,5,10,0.001,1.0,1.0,4,10000,10,30,"128, 64, 64",softmax,20
29764,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64",sigmoid,20
14482,10,5,10,0.001,1.0,1.0,4,5000,15,20,"128, 64",sigmoid,20
27830,10,5,10,0.001,1.0,1.0,8,1000,10,10,"128, 64, 64",softmax,20
29608,10,5,10,0.001,1.0,1.0,8,1000,10,30,"128, 64, 64",softmax,20
7096,10,5,10,0.001,1.0,1.0,4,1000,15,20,"128, 64, 64",softmax,20
29884,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64",softmax,20
17398,10,5,10,0.001,1.0,1.0,4,10000,5,20,"128, 64",swish,20
31438,10,5,10,0.001,1.0,1.0,8,1000,15,20,"128, 64, 64",softmax,20
26300,10,5,10,0.001,1.0,1.0,8,1000,5,30,"128, 64",softmax,20
30504,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64, 64",softmax,20
21344,10,5,10,0.001,1.0,1.0,4,10000,10,30,"128, 64, 64",relu,20
30850,10,5,10,0.001,1.0,1.0,8,1000,15,20,"128, 64",swish,20
13204,10,5,10,0.001,1.0,1.0,4,5000,10,30,"128, 64, 64",relu,20
6496,10,5,10,0.001,1.0,1.0,4,1000,15,20,"128, 64",softmax,20
29702,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64",relu,20
26910,10,5,10,0.001,1.0,1.0,8,1000,5,30,"128, 64, 64",softmax,20
16108,10,5,10,0.001,1.0,1.0,4,5000,15,30,"128, 64, 64",softmax,20
29706,10,5,10,0.001,1.0,1.0,8,1000,15,10,"128, 64",relu,20
30608,10,5,10,0.001,1.0,1.0,8,1000,15,20,"128, 64",relu,20
29598,10,5,10,0.001,1.0,1.0,8,1000,10,30,"128, 64, 64",softmax,20
14620,10,5,10,0.001,1.0,1.0,4,5000,15,20,"128, 64",softmax,20
23288,10,5,10,0.001,1.0,1.0,4,10000,15,20,"128, 64, 64",softmax,20
9752,10,5,10,0.001,1.0,1.0,4,5000,5,20,"128, 64, 64",tanh,20
29602,10,5,10,0.001,1.0,1.0,8,1000,10,30,"128, 64, 64",softmax,20
13484,10,5,10,0.001,1.0,1.0,4,5000,10,30,"128, 64, 64",swish,20
28120,10,5,10,0.001,1.0,1.0,8,1000,10,20,"128, 64",softmax,20
13248,10,5,10,0.001,1.0,1.0,4,5000,10,30,"128, 64, 64",relu,20
