model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
831,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
1131,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
815,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
2007,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
209,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
839,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
813,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
611,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
239,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
809,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
2963,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",swish,10
2689,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",swish,10
643,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
2915,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
1739,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
2607,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
203,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
63,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
2507,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",sigmoid,10
2069,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",swish,10
1883,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",sigmoid,10
253,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,10
71,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
2899,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
2701,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",relu,10
819,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
2025,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
1711,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
61,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
2027,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
11,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,10
601,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
837,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
1121,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
2021,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
1,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,10
847,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,10
251,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,10
3,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,10
883,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,10
663,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
875,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,10
2763,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",sigmoid,10
227,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
285,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,10
2705,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",relu,10
193,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
669,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
1729,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
801,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
603,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
219,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
843,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,10
217,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
2711,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",relu,10
2767,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",sigmoid,10
243,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,10
1817,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",relu,10
1865,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",sigmoid,10
121,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
849,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,10
833,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
5,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,10
2897,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
2761,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",sigmoid,10
609,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
2003,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
2893,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
1871,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",sigmoid,10
2945,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",swish,10
1783,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,10
2051,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",swish,10
2917,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
199,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
7,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,10
2703,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",relu,10
169,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
2925,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
805,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
195,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
1123,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
2643,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",swish,10
1921,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",tanh,10
1811,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",relu,10
2883,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
1725,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
2709,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",relu,10
2603,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
1993,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
2017,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
723,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
671,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
2765,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",sigmoid,10
721,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
69,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
2043,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",swish,10
1515,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
1997,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
129,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
795,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
1869,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",sigmoid,10
817,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
249,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,10
1999,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
791,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
65,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
2595,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
2651,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",swish,10
1735,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
2769,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",sigmoid,10
827,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
2627,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
1127,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
247,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,10
1109,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
2895,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
967,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
9,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,10
2799,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",sigmoid,10
2621,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
607,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
2615,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
1101,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
821,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
1995,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
2943,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",swish,10
841,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,10
1733,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
2733,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",relu,10
851,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,10
2921,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
1983,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
245,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,10
191,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
2411,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",relu,10
1861,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",sigmoid,10
1545,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
1563,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
971,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
667,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
1749,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,10
1803,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",relu,10
1089,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
783,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
183,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
2465,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",sigmoid,10
201,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
