model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
357,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
353,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
395,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
473,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
1313,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
1405,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
355,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
977,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
553,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
557,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
1465,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,10
927,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
999,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
679,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
867,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,10
685,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
101,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
647,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
1479,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,10
893,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,10
1573,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
623,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
691,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
53,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,10
105,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
1295,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
643,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
593,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
1551,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
709,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
109,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
695,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
713,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
989,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
987,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
653,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
1577,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
1237,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,relu,10
649,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
1591,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
1105,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
565,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
639,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
993,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
693,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
31,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,10
1543,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
1009,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
1411,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
175,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
87,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
627,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
1609,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
1421,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
683,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
73,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
