model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
58,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,20
780,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
1774,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
856,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
1558,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
1786,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
898,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
114,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
984,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
694,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
88,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
1604,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
1792,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
84,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
748,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
1008,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
888,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
1000,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
644,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
1764,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
1140,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
30,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,20
290,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,20
240,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1784,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
292,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,20
1584,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
620,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
964,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
958,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
980,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
740,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
940,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
624,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
972,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
1104,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
1780,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
634,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
74,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
858,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
1574,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
1778,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
860,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
770,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
118,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
602,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
296,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,20
776,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
744,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
1076,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
76,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
610,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
232,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1670,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,20
1772,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
56,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,20
778,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
1078,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
174,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,20
1046,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
608,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
1716,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
1128,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
1092,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
1506,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
1504,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
228,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
806,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
1084,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
1564,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
606,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
1050,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
1748,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
852,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
1006,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
1796,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
