model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
863_test,0.90486,0.85350,0.70108,0.78438,0.93400,0.77300,0.85350,0.80448,0.93400,0.86441,0.85350
863_train,0.93189,0.89300,0.78168,0.83391,0.95500,0.83100,0.89300,0.84964,0.95500,0.89925,0.89300
,,,,,,,,,,,
705_test,0.89547,0.78700,0.56539,0.70506,0.95600,0.61800,0.78700,0.71450,0.95600,0.81779,0.78700
705_train,0.95077,0.89500,0.78576,0.82972,0.98500,0.80500,0.89500,0.83475,0.98500,0.90367,0.89500
,,,,,,,,,,,
27_test,0.89286,0.89800,0.79188,0.85998,0.89000,0.90600,0.89800,0.90447,0.89000,0.89718,0.89800
27_train,0.88064,0.88550,0.76637,0.84362,0.87800,0.89300,0.88550,0.89137,0.87800,0.88463,0.88550
,,,,,,,,,,,
997_test,0.89109,0.77750,0.54601,0.69567,0.95400,0.60100,0.77750,0.70510,0.95400,0.81088,0.77750
997_train,0.95855,0.89350,0.78270,0.82461,0.99900,0.78800,0.89350,0.82494,0.99900,0.90366,0.89350
,,,,,,,,,,,
1787_test,0.88679,0.87550,0.74597,0.82398,0.89300,0.85800,0.87550,0.86280,0.89300,0.87764,0.87550
1787_train,0.88428,0.87200,0.73883,0.81932,0.89100,0.85300,0.87200,0.85838,0.89100,0.87439,0.87200
,,,,,,,,,,,
103_test,0.88460,0.72500,0.43889,0.64639,0.97200,0.47800,0.72500,0.65060,0.97200,0.77947,0.72500
103_train,0.93393,0.82650,0.64599,0.74263,0.99800,0.65500,0.82650,0.74311,0.99800,0.85190,0.82650
,,,,,,,,,,,
999_test,0.88241,0.83000,0.65313,0.75872,0.91100,0.74900,0.83000,0.78399,0.91100,0.84274,0.83000
999_train,0.96812,0.94300,0.88370,0.90288,0.98400,0.90200,0.94300,0.90943,0.98400,0.94524,0.94300
,,,,,,,,,,,
771_test,0.88218,0.88250,0.76025,0.83770,0.88200,0.88300,0.88250,0.88288,0.88200,0.88244,0.88250
771_train,0.87635,0.87700,0.74903,0.83091,0.87600,0.87800,0.87700,0.87776,0.87600,0.87688,0.87700
,,,,,,,,,,,
179_test,0.88183,0.87050,0.73577,0.81788,0.88800,0.85300,0.87050,0.85797,0.88800,0.87273,0.87050
179_train,0.89023,0.87800,0.75107,0.82665,0.89700,0.85900,0.87800,0.86416,0.89700,0.88027,0.87800
,,,,,,,,,,,
275_test,0.88041,0.88300,0.76127,0.83937,0.87900,0.88700,0.88300,0.88609,0.87900,0.88253,0.88300
275_train,0.87888,0.88050,0.75617,0.83576,0.87800,0.88300,0.88050,0.88241,0.87800,0.88020,0.88050
,,,,,,,,,,,
755_test,0.87947,0.87850,0.75209,0.83208,0.88000,0.87700,0.87850,0.87737,0.88000,0.87868,0.87850
755_train,0.87565,0.87500,0.74495,0.82784,0.87600,0.87400,0.87500,0.87425,0.87600,0.87512,0.87500
,,,,,,,,,,,
1605_test,0.87933,0.66800,0.32259,0.60108,0.99400,0.34200,0.66800,0.60169,0.99400,0.74962,0.66800
1605_train,0.91408,0.76500,0.52051,0.68027,1.00000,0.53000,0.76500,0.68027,1.00000,0.80972,0.76500
,,,,,,,,,,,
79_test,0.87871,0.66600,0.31851,0.59964,0.99400,0.33800,0.66600,0.60024,0.99400,0.74849,0.66600
79_train,0.91091,0.75550,0.50112,0.67159,1.00000,0.51100,0.75550,0.67159,1.00000,0.80354,0.75550
,,,,,,,,,,,
1779_test,0.87846,0.81100,0.61436,0.73557,0.91500,0.70700,0.81100,0.75745,0.91500,0.82880,0.81100
1779_train,0.90243,0.84300,0.67966,0.77070,0.93600,0.75000,0.84300,0.78921,0.93600,0.85636,0.84300
,,,,,,,,,,,
883_test,0.87723,0.80550,0.60314,0.72919,0.91600,0.69500,0.80550,0.75020,0.91600,0.82485,0.80550
883_train,0.86957,0.81250,0.61743,0.73936,0.90000,0.72500,0.81250,0.76596,0.90000,0.82759,0.81250
,,,,,,,,,,,
287_test,0.87663,0.88150,0.75821,0.83851,0.87400,0.88900,0.88150,0.88731,0.87400,0.88060,0.88150
287_train,0.89175,0.89850,0.79290,0.86146,0.88800,0.90900,0.89850,0.90705,0.88800,0.89742,0.89850
,,,,,,,,,,,
867_test,0.87618,0.87650,0.74801,0.83014,0.87600,0.87700,0.87650,0.87688,0.87600,0.87644,0.87650
867_train,0.88082,0.88050,0.75617,0.83489,0.88100,0.88000,0.88050,0.88012,0.88100,0.88056,0.88050
,,,,,,,,,,,
605_test,0.87512,0.87350,0.74189,0.82556,0.87600,0.87100,0.87350,0.87164,0.87600,0.87382,0.87350
605_train,0.96077,0.96200,0.92246,0.94530,0.96000,0.96400,0.96200,0.96386,0.96000,0.96192,0.96200
,,,,,,,,,,,
611_test,0.87500,0.87500,0.74495,0.82812,0.87500,0.87500,0.87500,0.87500,0.87500,0.87500,0.87500
611_train,0.95014,0.95200,0.90206,0.93154,0.94900,0.95500,0.95200,0.95473,0.94900,0.95186,0.95200
,,,,,,,,,,,
1649_test,0.87379,0.85850,0.71128,0.80200,0.88200,0.83500,0.85850,0.84241,0.88200,0.86175,0.85850
1649_train,0.87956,0.86400,0.72251,0.80843,0.88800,0.84000,0.86400,0.84733,0.88800,0.86719,0.86400
,,,,,,,,,,,
