model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
196_test,0.93719,0.92750,0.85207,0.89101,0.94300,0.91200,0.92750,0.91465,0.94300,0.92861,0.92750
196_train,0.96456,0.95750,0.91328,0.93335,0.96900,0.94600,0.95750,0.94721,0.96900,0.95798,0.95750
,,,,,,,,,,,
64_test,0.93365,0.92300,0.84289,0.88455,0.94000,0.90600,0.92300,0.90909,0.94000,0.92429,0.92300
64_train,0.97308,0.96850,0.93573,0.95050,0.97600,0.96100,0.96850,0.96158,0.97600,0.96873,0.96850
,,,,,,,,,,,
1732_test,0.93260,0.88150,0.75821,0.81589,0.96300,0.80000,0.88150,0.82803,0.96300,0.89043,0.88150
1732_train,0.96579,0.93050,0.85819,0.88147,0.98800,0.87300,0.93050,0.88610,0.98800,0.93428,0.93050
,,,,,,,,,,,
216_test,0.93252,0.90650,0.80922,0.85583,0.94800,0.86500,0.90650,0.87535,0.94800,0.91023,0.90650
216_train,0.96184,0.93600,0.86941,0.89337,0.97800,0.89400,0.93600,0.90221,0.97800,0.93858,0.93600
,,,,,,,,,,,
1104_test,0.93021,0.92550,0.84799,0.89112,0.93300,0.91800,0.92550,0.91921,0.93300,0.92605,0.92550
1104_train,0.96453,0.95900,0.91634,0.93646,0.96800,0.95000,0.95900,0.95088,0.96800,0.95937,0.95900
,,,,,,,,,,,
1852_test,0.92915,0.87700,0.74903,0.81039,0.96000,0.79400,0.87700,0.82333,0.96000,0.88643,0.87700
1852_train,0.93192,0.88300,0.76127,0.81839,0.96100,0.80500,0.88300,0.83131,0.96100,0.89147,0.88300
,,,,,,,,,,,
1120_test,0.92843,0.91900,0.83473,0.87995,0.93400,0.90400,0.91900,0.90680,0.93400,0.92020,0.91900
1120_train,0.95832,0.95400,0.90614,0.93027,0.96100,0.94700,0.95400,0.94773,0.96100,0.95432,0.95400
,,,,,,,,,,,
664_test,0.92843,0.91900,0.83473,0.87995,0.93400,0.90400,0.91900,0.90680,0.93400,0.92020,0.91900
664_train,0.97128,0.96700,0.93267,0.94858,0.97400,0.96000,0.96700,0.96055,0.97400,0.96723,0.96700
,,,,,,,,,,,
1692_test,0.92800,0.92800,0.85309,0.89718,0.92800,0.92800,0.92800,0.92800,0.92800,0.92800,0.92800
1692_train,0.96319,0.96350,0.92553,0.94680,0.96300,0.96400,0.96350,0.96396,0.96300,0.96348,0.96350
,,,,,,,,,,,
2064_test,0.92664,0.86150,0.71740,0.78902,0.96500,0.75800,0.86150,0.79950,0.96500,0.87449,0.86150
2064_train,0.94336,0.88950,0.77454,0.82409,0.97600,0.80300,0.88950,0.83205,0.97600,0.89830,0.88950
,,,,,,,,,,,
704_test,0.92639,0.87950,0.75413,0.81509,0.95400,0.80500,0.87950,0.83029,0.95400,0.88785,0.87950
704_train,0.94748,0.91550,0.82759,0.86427,0.96700,0.86400,0.91550,0.87670,0.96700,0.91964,0.91550
,,,,,,,,,,,
2764_test,0.92626,0.91650,0.82963,0.87651,0.93200,0.90100,0.91650,0.90398,0.93200,0.91777,0.91650
2764_train,0.97469,0.96950,0.93777,0.95150,0.97800,0.96100,0.96950,0.96165,0.97800,0.96976,0.96950
,,,,,,,,,,,
1128_test,0.92622,0.92150,0.83983,0.88579,0.92900,0.91400,0.92150,0.91527,0.92900,0.92208,0.92150
1128_train,0.96729,0.96300,0.92451,0.94291,0.97000,0.95600,0.96300,0.95661,0.97000,0.96326,0.96300
,,,,,,,,,,,
672_test,0.92567,0.92000,0.83677,0.88328,0.92900,0.91100,0.92000,0.91257,0.92900,0.92071,0.92000
672_train,0.96806,0.96500,0.92859,0.94658,0.97000,0.96000,0.96500,0.96040,0.97000,0.96517,0.96500
,,,,,,,,,,,
124_test,0.92552,0.91450,0.82555,0.87325,0.93200,0.89700,0.91450,0.90048,0.93200,0.91597,0.91450
124_train,0.96929,0.96500,0.92859,0.94574,0.97200,0.95800,0.96500,0.95858,0.97200,0.96524,0.96500
,,,,,,,,,,,
972_test,0.92526,0.91550,0.82759,0.87520,0.93100,0.90000,0.91550,0.90301,0.93100,0.91679,0.91550
972_train,0.97147,0.96750,0.93369,0.94950,0.97400,0.96100,0.96750,0.96150,0.97400,0.96771,0.96750
,,,,,,,,,,,
916_test,0.92497,0.85000,0.69394,0.77395,0.96900,0.73100,0.85000,0.78271,0.96900,0.86595,0.85000
916_train,0.92582,0.84900,0.69190,0.77241,0.97100,0.72700,0.84900,0.78055,0.97100,0.86542,0.84900
,,,,,,,,,,,
132_test,0.92427,0.91450,0.82555,0.87389,0.93000,0.89900,0.91450,0.90204,0.93000,0.91581,0.91450
132_train,0.97150,0.96600,0.93063,0.94632,0.97500,0.95700,0.96600,0.95776,0.97500,0.96630,0.96600
,,,,,,,,,,,
2772_test,0.92338,0.91550,0.82759,0.87618,0.92800,0.90300,0.91550,0.90537,0.92800,0.91654,0.91550
2772_train,0.96488,0.96150,0.92144,0.94141,0.96700,0.95600,0.96150,0.95648,0.96700,0.96171,0.96150
,,,,,,,,,,,
72_test,0.92312,0.91650,0.82963,0.87815,0.92700,0.90600,0.91650,0.90793,0.92700,0.91737,0.91650
72_train,0.96726,0.96450,0.92757,0.94609,0.96900,0.96000,0.96450,0.96036,0.96900,0.96466,0.96450
,,,,,,,,,,,
2904_test,0.92263,0.92200,0.84085,0.88873,0.92300,0.92100,0.92200,0.92116,0.92300,0.92208,0.92200
2904_train,0.95962,0.95900,0.91634,0.93976,0.96000,0.95800,0.95900,0.95808,0.96000,0.95904,0.95900
,,,,,,,,,,,
676_test,0.92261,0.89800,0.79188,0.84594,0.93700,0.85900,0.89800,0.86920,0.93700,0.90183,0.89800
676_train,0.94632,0.93700,0.87145,0.90391,0.95200,0.92200,0.93700,0.92427,0.95200,0.93793,0.93700
,,,,,,,,,,,
136_test,0.92257,0.91500,0.82657,0.87569,0.92700,0.90300,0.91500,0.90527,0.92700,0.91601,0.91500
136_train,0.92859,0.92450,0.84595,0.89014,0.93100,0.91800,0.92450,0.91905,0.93100,0.92499,0.92450
,,,,,,,,,,,
2824_test,0.92228,0.91250,0.82147,0.87129,0.92800,0.89700,0.91250,0.90010,0.92800,0.91384,0.91250
2824_train,0.96453,0.95900,0.91634,0.93646,0.96800,0.95000,0.95900,0.95088,0.96800,0.95937,0.95900
,,,,,,,,,,,
724_test,0.92194,0.91500,0.82657,0.87602,0.92600,0.90400,0.91500,0.90607,0.92600,0.91592,0.91500
724_train,0.96246,0.96000,0.91838,0.93992,0.96400,0.95600,0.96000,0.95635,0.96400,0.96016,0.96000
,,,,,,,,,,,
1872_test,0.92163,0.90900,0.81432,0.86535,0.92900,0.88900,0.90900,0.89327,0.92900,0.91078,0.90900
1872_train,0.96948,0.96550,0.92961,0.94666,0.97200,0.95900,0.96550,0.95953,0.97200,0.96572,0.96550
,,,,,,,,,,,
1114_test,0.92160,0.83700,0.66741,0.75807,0.97100,0.70300,0.83700,0.76577,0.97100,0.85626,0.83700
1114_train,0.94452,0.87950,0.75413,0.80887,0.98400,0.77500,0.87950,0.81390,0.98400,0.89090,0.87950
,,,,,,,,,,,
2004_test,0.92155,0.91050,0.81738,0.86806,0.92800,0.89300,0.91050,0.89662,0.92800,0.91204,0.91050
2004_train,0.96334,0.95750,0.91328,0.93415,0.96700,0.94800,0.95750,0.94897,0.96700,0.95790,0.95750
,,,,,,,,,,,
732_test,0.92150,0.91550,0.82759,0.87717,0.92500,0.90600,0.91550,0.90775,0.92500,0.91630,0.91550
732_train,0.96745,0.96500,0.92859,0.94701,0.96900,0.96100,0.96500,0.96131,0.96900,0.96514,0.96500
,,,,,,,,,,,
2742_test,0.92123,0.88050,0.75617,0.81849,0.94500,0.81600,0.88050,0.83702,0.94500,0.88774,0.88050
2742_train,0.91478,0.87800,0.75107,0.81703,0.93600,0.82000,0.87800,0.83871,0.93600,0.88469,0.87800
,,,,,,,,,,,
1744_test,0.92116,0.91800,0.83269,0.88199,0.92300,0.91300,0.91800,0.91386,0.92300,0.91841,0.91800
1744_train,0.95243,0.95150,0.90104,0.92899,0.95300,0.95000,0.95150,0.95015,0.95300,0.95157,0.95150
,,,,,,,,,,,
878_test,0.92110,0.89900,0.79392,0.84829,0.93400,0.86400,0.89900,0.87290,0.93400,0.90242,0.89900
878_train,0.92523,0.90350,0.80310,0.85405,0.93800,0.86900,0.90350,0.87746,0.93800,0.90672,0.90350
,,,,,,,,,,,
1084_test,0.92100,0.92100,0.83881,0.88774,0.92100,0.92100,0.92100,0.92100,0.92100,0.92100,0.92100
1084_train,0.95819,0.95850,0.91532,0.93968,0.95800,0.95900,0.95850,0.95896,0.95800,0.95848,0.95850
,,,,,,,,,,,
1754_test,0.92067,0.87550,0.74597,0.81111,0.94700,0.80400,0.87550,0.82852,0.94700,0.88381,0.87550
1754_train,0.93768,0.89050,0.77658,0.82774,0.96600,0.81500,0.89050,0.83927,0.96600,0.89819,0.89050
,,,,,,,,,,,
4_test,0.92040,0.91250,0.82147,0.87226,0.92500,0.90000,0.91250,0.90244,0.92500,0.91358,0.91250
4_train,0.96392,0.95900,0.91634,0.93686,0.96700,0.95100,0.95900,0.95177,0.96700,0.95933,0.95900
,,,,,,,,,,,
240_test,0.92025,0.90350,0.80310,0.85637,0.93000,0.87700,0.90350,0.88319,0.93000,0.90599,0.90350
240_train,0.95508,0.94550,0.88880,0.91525,0.96100,0.93000,0.94550,0.93210,0.96100,0.94633,0.94550
,,,,,,,,,,,
2944_test,0.92024,0.91550,0.82759,0.87784,0.92300,0.90800,0.91550,0.90936,0.92300,0.91613,0.91550
2944_train,0.97083,0.96900,0.93675,0.95315,0.97200,0.96600,0.96900,0.96620,0.97200,0.96909,0.96900
,,,,,,,,,,,
1096_test,0.92011,0.91000,0.81636,0.86789,0.92600,0.89400,0.91000,0.89729,0.92600,0.91142,0.91000
1096_train,0.96372,0.95850,0.91532,0.93596,0.96700,0.95000,0.95850,0.95084,0.96700,0.95885,0.95850
,,,,,,,,,,,
1730_test,0.91992,0.84250,0.67864,0.76547,0.96500,0.72000,0.84250,0.77510,0.96500,0.85969,0.84250
1730_train,0.95934,0.90850,0.81330,0.84749,0.99100,0.82600,0.90850,0.85064,0.99100,0.91547,0.90850
,,,,,,,,,,,
