model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
1576_test,0.86204,0.73100,0.45113,0.65362,0.93100,0.53100,0.73100,0.66500,0.93100,0.77583,0.73100
1576_train,0.94222,0.85000,0.69394,0.76952,0.99800,0.70200,0.85000,0.77006,0.99800,0.86934,0.85000
,,,,,,,,,,,
1110_test,0.85659,0.80400,0.60008,0.73167,0.88400,0.72400,0.80400,0.76207,0.88400,0.81852,0.80400
1110_train,0.97397,0.95200,0.90206,0.91658,0.98800,0.91600,0.95200,0.92164,0.98800,0.95367,0.95200
,,,,,,,,,,,
1000_test,0.85579,0.69400,0.37564,0.62223,0.94000,0.44800,0.69400,0.63003,0.94000,0.75441,0.69400
1000_train,0.92799,0.80600,0.60416,0.72046,1.00000,0.61200,0.80600,0.72046,1.00000,0.83752,0.80600
,,,,,,,,,,,
388_test,0.85528,0.73850,0.46644,0.66123,0.91600,0.56100,0.73850,0.67601,0.91600,0.77792,0.73850
388_train,0.88912,0.76250,0.51541,0.68072,0.95900,0.56600,0.76250,0.68844,0.95900,0.80150,0.76250
,,,,,,,,,,,
328_test,0.85274,0.80200,0.59600,0.73003,0.87900,0.72500,0.80200,0.76170,0.87900,0.81616,0.80200
328_train,0.91472,0.86050,0.71536,0.79123,0.94600,0.77500,0.86050,0.80786,0.94600,0.87149,0.86050
,,,,,,,,,,,
76_test,0.84805,0.79750,0.58682,0.72551,0.87400,0.72100,0.79750,0.75802,0.87400,0.81189,0.79750
76_train,0.96752,0.93350,0.86431,0.88590,0.98900,0.87800,0.93350,0.89019,0.98900,0.93700,0.93350
,,,,,,,,,,,
1294_test,0.84566,0.75500,0.50010,0.67854,0.89200,0.61800,0.75500,0.70016,0.89200,0.78452,0.75500
1294_train,0.90474,0.83200,0.65721,0.75576,0.94600,0.71800,0.83200,0.77036,0.94600,0.84919,0.83200
,,,,,,,,,,,
208_test,0.84466,0.74600,0.48174,0.66962,0.89500,0.59700,0.74600,0.68952,0.89500,0.77894,0.74600
208_train,0.96002,0.89750,0.79086,0.83009,0.99900,0.79600,0.89750,0.83042,0.99900,0.90695,0.89750
,,,,,,,,,,,
84_test,0.84289,0.56350,0.10937,0.53394,0.98500,0.14200,0.56350,0.53445,0.98500,0.69293,0.56350
84_train,0.85514,0.57650,0.13589,0.54142,1.00000,0.15300,0.57650,0.54142,1.00000,0.70249,0.57650
,,,,,,,,,,,
978_test,0.84270,0.70050,0.38890,0.62838,0.91500,0.48600,0.70050,0.64031,0.91500,0.75340,0.70050
978_train,0.93249,0.81900,0.63069,0.73421,1.00000,0.63800,0.81900,0.73421,1.00000,0.84674,0.81900
,,,,,,,,,,,
1578_test,0.84265,0.54300,0.06754,0.52247,0.99500,0.09100,0.54300,0.52258,0.99500,0.68526,0.54300
1578_train,0.85455,0.57450,0.13181,0.54025,1.00000,0.14900,0.57450,0.54025,1.00000,0.70151,0.57450
,,,,,,,,,,,
448_test,0.84085,0.69850,0.38482,0.62682,0.91300,0.48400,0.69850,0.63891,0.91300,0.75175,0.69850
448_train,0.89537,0.76700,0.52459,0.68442,0.96700,0.56700,0.76700,0.69071,0.96700,0.80583,0.76700
,,,,,,,,,,,
998_test,0.83868,0.63400,0.25321,0.57811,0.94200,0.32600,0.63400,0.58292,0.94200,0.72018,0.63400
998_train,0.90547,0.73900,0.46746,0.65703,1.00000,0.47800,0.73900,0.65703,1.00000,0.79302,0.73900
,,,,,,,,,,,
1002_test,0.83782,0.52200,0.02469,0.51125,0.99700,0.04700,0.52200,0.51128,0.99700,0.67593,0.52200
1002_train,0.84133,0.52850,0.03795,0.51467,1.00000,0.05700,0.52850,0.51467,1.00000,0.67958,0.52850
,,,,,,,,,,,
930_test,0.83473,0.51100,0.00224,0.50556,0.99700,0.02500,0.51100,0.50558,0.99700,0.67093,0.51100
930_train,0.82647,0.50750,-0.00490,0.50378,0.98400,0.03100,0.50750,0.50384,0.98400,0.66644,0.50750
,,,,,,,,,,,
696_test,0.83403,0.50250,-0.01510,0.50125,1.00000,0.00500,0.50250,0.50125,1.00000,0.66778,0.50250
696_train,0.83041,0.49950,-0.02122,0.49975,0.99500,0.00400,0.49950,0.49975,0.99500,0.66533,0.49950
,,,,,,,,,,,
1558_test,0.83389,0.50200,-0.01612,0.50100,1.00000,0.00400,0.50200,0.50100,1.00000,0.66756,0.50200
1558_train,0.83417,0.50300,-0.01408,0.50150,1.00000,0.00600,0.50300,0.50150,1.00000,0.66800,0.50300
,,,,,,,,,,,
1560_test,0.83389,0.50200,-0.01612,0.50100,1.00000,0.00400,0.50200,0.50100,1.00000,0.66756,0.50200
1560_train,0.83180,0.50250,-0.01510,0.50125,0.99600,0.00900,0.50250,0.50126,0.99600,0.66689,0.50250
,,,,,,,,,,,
634_test,0.83389,0.50200,-0.01612,0.50100,1.00000,0.00400,0.50200,0.50100,1.00000,0.66756,0.50200
634_train,0.83668,0.51200,0.00428,0.50607,1.00000,0.02400,0.51200,0.50607,1.00000,0.67204,0.51200
,,,,,,,,,,,
994_test,0.83375,0.50550,-0.00898,0.50277,0.99800,0.01300,0.50550,0.50277,0.99800,0.66868,0.50550
994_train,0.83556,0.50800,-0.00388,0.50403,1.00000,0.01600,0.50800,0.50403,1.00000,0.67024,0.50800
,,,,,,,,,,,
396_test,0.83366,0.78900,0.56948,0.71815,0.85600,0.72200,0.78900,0.75485,0.85600,0.80225,0.78900
396_train,0.90866,0.83100,0.65517,0.75357,0.95300,0.70900,0.83100,0.76608,0.95300,0.84938,0.83100
,,,,,,,,,,,
16_test,0.83361,0.50300,-0.01408,0.50150,0.99900,0.00700,0.50300,0.50151,0.99900,0.66778,0.50300
16_train,0.83431,0.50550,-0.00898,0.50277,0.99900,0.01200,0.50550,0.50277,0.99900,0.66890,0.50550
,,,,,,,,,,,
56_test,0.83361,0.50100,-0.01816,0.50050,1.00000,0.00200,0.50100,0.50050,1.00000,0.66711,0.50100
56_train,0.83361,0.50100,-0.01816,0.50050,1.00000,0.00200,0.50100,0.50050,1.00000,0.66711,0.50100
,,,,,,,,,,,
708_test,0.83347,0.50050,-0.01918,0.50025,1.00000,0.00100,0.50050,0.50025,1.00000,0.66689,0.50050
708_train,0.83431,0.50350,-0.01306,0.50176,1.00000,0.00700,0.50350,0.50176,1.00000,0.66823,0.50350
,,,,,,,,,,,
996_test,0.83347,0.50050,-0.01918,0.50025,1.00000,0.00100,0.50050,0.50025,1.00000,0.66689,0.50050
996_train,0.83361,0.50100,-0.01816,0.50050,1.00000,0.00200,0.50100,0.50050,1.00000,0.66711,0.50100
,,,,,,,,,,,
1006_test,0.83347,0.50050,-0.01918,0.50025,1.00000,0.00100,0.50050,0.50025,1.00000,0.66689,0.50050
1006_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
682_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
682_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
1620_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
1620_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
112_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
112_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
1596_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
1596_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
1612_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
