model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_196,0.93719,0.92750,0.85207,0.89101,0.94300,0.91200,nan,0.92750,0.91465,0.94300,0.92861,0.92750
model_64,0.93365,0.92300,0.84289,0.88455,0.94000,0.90600,0.9732739313923079,0.92300,0.90909,0.94000,0.92429,0.92300
model_1732,0.93260,0.88150,0.75821,0.81589,0.96300,0.80000,nan,0.88150,0.82803,0.96300,0.89043,0.88150
model_216,0.93252,0.90650,0.80922,0.85583,0.94800,0.86500,nan,0.90650,0.87535,0.94800,0.91023,0.90650
model_1104,0.93021,0.92550,0.84799,0.89112,0.93300,0.91800,nan,0.92550,0.91921,0.93300,0.92605,0.92550
model_1852,0.92915,0.87700,0.74903,0.81039,0.96000,0.79400,0.8693470122874347,0.87700,0.82333,0.96000,0.88643,0.87700
model_1120,0.92843,0.91900,0.83473,0.87995,0.93400,0.90400,nan,0.91900,0.90680,0.93400,0.92020,0.91900
model_664,0.92843,0.91900,0.83473,0.87995,0.93400,0.90400,0.9774116427181377,0.91900,0.90680,0.93400,0.92020,0.91900
model_1692,0.92800,0.92800,0.85309,0.89718,0.92800,0.92800,0.8017235308702738,0.92800,0.92800,0.92800,0.92800,0.92800
model_2064,0.92664,0.86150,0.71740,0.78902,0.96500,0.75800,0.8857778193579652,0.86150,0.79950,0.96500,0.87449,0.86150
model_704,0.92639,0.87950,0.75413,0.81509,0.95400,0.80500,0.8238562439617357,0.87950,0.83029,0.95400,0.88785,0.87950
model_2764,0.92626,0.91650,0.82963,0.87651,0.93200,0.90100,0.9714521796275408,0.91650,0.90398,0.93200,0.91777,0.91650
model_1128,0.92622,0.92150,0.83983,0.88579,0.92900,0.91400,nan,0.92150,0.91527,0.92900,0.92208,0.92150
model_672,0.92567,0.92000,0.83677,0.88328,0.92900,0.91100,0.9737312797548422,0.92000,0.91257,0.92900,0.92071,0.92000
model_124,0.92552,0.91450,0.82555,0.87325,0.93200,0.89700,0.9742412149518276,0.91450,0.90048,0.93200,0.91597,0.91450
