model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_357,0.87125,0.69600,0.37972,0.62298,0.96500,0.42700,0.8097368147638109,0.69600,0.62744,0.96500,0.76044,0.69600
model_353,0.86924,0.75150,0.49296,0.67222,0.93200,0.57100,nan,0.75150,0.68479,0.93200,0.78950,0.75150
model_395,0.86639,0.66350,0.31341,0.59824,0.97400,0.35300,nan,0.66350,0.60086,0.97400,0.74323,0.66350
model_473,0.86383,0.80100,0.59396,0.72651,0.89700,0.70500,nan,0.80100,0.75252,0.89700,0.81843,0.80100
model_1313,0.85921,0.59800,0.17976,0.55435,0.99600,0.20000,0.8101079426114521,0.59800,0.55457,0.99600,0.71245,0.59800
model_1405,0.85198,0.58500,0.15323,0.54649,0.99000,0.18000,0.802442729473114,0.58500,0.54696,0.99000,0.70463,0.58500
model_355,0.84926,0.66900,0.32463,0.60297,0.94200,0.39600,nan,0.66900,0.60931,0.94200,0.73998,0.66900
model_977,0.84659,0.69150,0.37054,0.62071,0.92600,0.45700,0.862748106993527,0.69150,0.63036,0.92600,0.75010,0.69150
model_553,0.83969,0.80350,0.59906,0.73481,0.85800,0.74900,0.8831744406047284,0.80350,0.77367,0.85800,0.81366,0.80350
model_557,0.83895,0.72400,0.43685,0.64928,0.89700,0.55100,0.9076151114945509,0.72400,0.66642,0.89700,0.76471,0.72400
model_1465,0.83865,0.62600,0.23689,0.57268,0.94600,0.30600,nan,0.62600,0.57683,0.94600,0.71667,0.62600
model_927,0.83824,0.52550,0.03183,0.51309,0.99600,0.05500,nan,0.52550,0.51314,0.99600,0.67732,0.52550
model_999,0.83653,0.68050,0.34809,0.61243,0.91500,0.44600,0.826090681552887,0.68050,0.62287,0.91500,0.74119,0.68050
model_679,0.83641,0.51500,0.01041,0.50761,0.99800,0.03200,0.8319952049980993,0.51500,0.50763,0.99800,0.67296,0.51500
model_867,0.83621,0.66550,0.31749,0.60085,0.92200,0.40900,0.8180297985672951,0.66550,0.60939,0.92200,0.73378,0.66550
model_685,0.83591,0.56100,0.10426,0.53254,0.97400,0.14800,nan,0.56100,0.53341,0.97400,0.68931,0.56100
model_101,0.83585,0.51700,0.01449,0.50865,0.99600,0.03800,0.8538867835704986,0.51700,0.50868,0.99600,0.67343,0.51700
model_647,0.83577,0.56450,0.11141,0.53454,0.97200,0.15700,0.9256546715637306,0.56450,0.53554,0.97200,0.69059,0.56450
model_1479,0.83492,0.75500,0.50010,0.67994,0.87500,0.63500,0.8855892312287753,0.75500,0.70565,0.87500,0.78125,0.75500
model_893,0.83473,0.51900,0.01857,0.50969,0.99300,0.04500,nan,0.51900,0.50975,0.99300,0.67368,0.51900
model_1573,0.83431,0.50550,-0.00898,0.50277,0.99900,0.01200,0.8853089632352582,0.50550,0.50277,0.99900,0.66890,0.50550
model_623,0.83431,0.50750,-0.00490,0.50378,0.99800,0.01700,0.8379512899315235,0.50750,0.50379,0.99800,0.66957,0.50750
model_691,0.83417,0.50500,-0.01000,0.50251,0.99900,0.01100,nan,0.50500,0.50252,0.99900,0.66867,0.50500
model_53,0.83417,0.50700,-0.00592,0.50352,0.99800,0.01600,0.8372700621852767,0.50700,0.50353,0.99800,0.66935,0.50700
model_105,0.83377,0.57350,0.12977,0.53978,0.96400,0.18300,0.8709312399520593,0.57350,0.54127,0.96400,0.69328,0.57350
model_1295,0.83375,0.50950,-0.00082,0.50480,0.99600,0.02300,nan,0.50950,0.50482,0.99600,0.67003,0.50950
model_643,0.83364,0.66300,0.31239,0.59907,0.91900,0.40700,0.8798580996373521,0.66300,0.60780,0.91900,0.73169,0.66300
model_593,0.83349,0.76050,0.51132,0.68592,0.87000,0.65100,nan,0.76050,0.71370,0.87000,0.78414,0.76050
model_1551,0.83333,0.50800,-0.00388,0.50403,0.99600,0.02000,nan,0.50800,0.50405,0.99600,0.66935,0.50800
model_709,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8078425343418534,0.50000,0.50000,1.00000,0.66667,0.50000
model_109,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8895612345868019,0.50000,0.50000,1.00000,0.66667,0.50000
model_695,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8052755777652447,0.50000,0.50000,1.00000,0.66667,0.50000
model_713,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8062534133593241,0.50000,0.50000,1.00000,0.66667,0.50000
