model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_863,0.90486,0.85350,0.70108,0.78438,0.93400,0.77300,0.8359419643143077,0.85350,0.80448,0.93400,0.86441,0.85350
model_705,0.89547,0.78700,0.56539,0.70506,0.95600,0.61800,0.8348159375515851,0.78700,0.71450,0.95600,0.81779,0.78700
model_27,0.89286,0.89800,0.79188,0.85998,0.89000,0.90600,0.8199138749729503,0.89800,0.90447,0.89000,0.89718,0.89800
model_997,0.89109,0.77750,0.54601,0.69567,0.95400,0.60100,0.8693761431652567,0.77750,0.70510,0.95400,0.81088,0.77750
model_1787,0.88679,0.87550,0.74597,0.82398,0.89300,0.85800,0.815483915455201,0.87550,0.86280,0.89300,0.87764,0.87550
model_103,0.88460,0.72500,0.43889,0.64639,0.97200,0.47800,0.8340283209407652,0.72500,0.65060,0.97200,0.77947,0.72500
model_999,0.88241,0.83000,0.65313,0.75872,0.91100,0.74900,0.8574243695080127,0.83000,0.78399,0.91100,0.84274,0.83000
model_771,0.88218,0.88250,0.76025,0.83770,0.88200,0.88300,0.8245332525535063,0.88250,0.88288,0.88200,0.88244,0.88250
model_179,0.88183,0.87050,0.73577,0.81788,0.88800,0.85300,0.8182379874067569,0.87050,0.85797,0.88800,0.87273,0.87050
model_275,0.88041,0.88300,0.76127,0.83937,0.87900,0.88700,nan,0.88300,0.88609,0.87900,0.88253,0.88300
model_755,0.87947,0.87850,0.75209,0.83208,0.88000,0.87700,0.8384111324946085,0.87850,0.87737,0.88000,0.87868,0.87850
model_1605,0.87933,0.66800,0.32259,0.60108,0.99400,0.34200,0.8588009892600605,0.66800,0.60169,0.99400,0.74962,0.66800
model_79,0.87871,0.66600,0.31851,0.59964,0.99400,0.33800,0.8750469184962408,0.66600,0.60024,0.99400,0.74849,0.66600
model_1779,0.87846,0.81100,0.61436,0.73557,0.91500,0.70700,0.8240968886109972,0.81100,0.75745,0.91500,0.82880,0.81100
model_883,0.87723,0.80550,0.60314,0.72919,0.91600,0.69500,0.8209305822849273,0.80550,0.75020,0.91600,0.82485,0.80550
model_287,0.87663,0.88150,0.75821,0.83851,0.87400,0.88900,0.8235234768494316,0.88150,0.88731,0.87400,0.88060,0.88150
model_867,0.87618,0.87650,0.74801,0.83014,0.87600,0.87700,nan,0.87650,0.87688,0.87600,0.87644,0.87650
model_605,0.87512,0.87350,0.74189,0.82556,0.87600,0.87100,0.9692147837135131,0.87350,0.87164,0.87600,0.87382,0.87350
model_611,0.87500,0.87500,0.74495,0.82812,0.87500,0.87500,0.9681560179709277,0.87500,0.87500,0.87500,0.87500,0.87500
model_1649,0.87379,0.85850,0.71128,0.80200,0.88200,0.83500,0.8394505977630615,0.85850,0.84241,0.88200,0.86175,0.85850
model_975,0.87307,0.66450,0.31545,0.59874,0.98500,0.34400,0.8620203208522637,0.66450,0.60024,0.98500,0.74593,0.66450
model_775,0.87300,0.87300,0.74087,0.82563,0.87300,0.87300,0.8204312387265658,0.87300,0.87300,0.87300,0.87300,0.87300
