Feature,Importance,description
RECALL_2,0.04701250420493707,number of words remembered correctly
YEAR_2,0.04194662272381402,in what year are we
LASTDAY_2,0.0400074055281175,Does he/she forget what happened the day before?
Q1781_2,0.034187901757376425,Judgment: Problems with memory are more prominent than problems with thinking i.e. more difficulty with remembering things than working things out.
Q75_2,0.03071293738633356,evaluate: error in the year provided
LEARN3_2,0.030197948167137903,please repeat the words you can remember (third trial)
MEMORY_2,0.029390613377137966,"We all have slight difficulties in remembering things as we get older, but has this been a particular problem for him/her?"
LEARN1_2,0.02464243465218097,please repeat the words you can remember (first trial)
LEARN2_2,0.02393610991631155,please repeat the words you can remember (second trial)
Q76_2,0.02383656048266201,evaluate: the participant says/points out that he doesn't know the year
PUT_2,0.0231763855247364,Does he/she forget where he/she has put things?
LASTSEE_2,0.01956857006591024,Does he/she forget when he/she last saw you?
SEASON_2,0.019544408774849812,in what season are we
MONEY_2,0.018319459547593203,Has there been a change in his/her ability to handle money?
ANIMALS_2,0.015385042741502184,participant was able to mention the names of the animals during the one minute provided
CONVERS_2,0.014336305563020822,Does he/she forget what he/she wanted to say in the middle of the conversation?
MONTH_2,0.013920555670297152,In what month are we
PAST_2,0.013824691087134886,Does he/she tend to talk about what happened long ago rather than the present?
Q401_2,0.013788073294046745,the interviewer's believes that the elderly has a memory problem
Q72_2,0.012076334759747892,evaluate: there is an error in the month provided 
WORDFIND_2,0.012006732730284212,When speaking does he/she have difficulty saying the right words?
REASON_2,0.011417001988825637,Have you noticed a change in his/her ability to think and reason?
STORY_2,0.01132300168092868,score of repeating story
Q1551_2,0.010137534311951246,"Taking everything into account, how would you describe your satisfaction with life at the present time: good, average, or weak?"
FRDNAME_2,0.009833446403808468,Does he/she forget the names of friends?
CARENEED_2,0.009139803394908835,The older person
Q74_2,0.009105396264148757,"evaluate: at least some answers are incomplete, irrelevant or no answer"
MENTAL_2,0.009079943298247255,Has there been a general decline in his/her mental functioning?  
Q331_2,0.008592583863887511,"seems very nervous, worried, depressed or scared"
ICINTCOM_2,0.008590822684513506,"* Interviewer's evaluation * Has the interview ended?
"
KEPT_2,0.008055491222739622,Does he/she forget where things are usually kept?
Q381_2,0.007887402246871652,does not remember the name of the current prime minister (if wrong give the right answer: Tamam Salam) 
Q1561_2,0.007846602482509474,"In general, how happy are you: very happy, reasonably happy, not too happy, not happy at all?"
STORE_2,0.007368989358873347,where is the local market shop located
Q73_2,0.007081098361464839,evaluate: the participants says/points out that he doesn't know the month
IRERROR_2,0.006604770389948444,"Interviewer's evaluation: In the Direction or Memory section, did you record ""Yes"" (an indication of memory errors) or ""Not applicable"" frequently during the interview? Or was there a lot of ""not applicable"" in the rest of the interview? """
Q391_2,0.006493303490810537,does not remember the name of the past prime minister (if wrong give the right answer: Najib Mikati) 
Q781_2,0.006006061897714433,Elderly seems very slow in all moves
MUDDLED_2,0.005955805672143182,Does his/her thinking ever seem muddled?                    
HASCONF_2,0.005952385840723137,overall rating of confidence in data
ORIENT_2,0.005907024620659577,Does he/she forget where he/she is?
Q71_2,0.005859238190187754,evaluate: there is an error in the date of the week provided
TRIALNO_2,0.0056462744499552135,number of trials needed by participant to remember all 3 words
WORDDEL_2,0.005600999184682359,do you remember the 3 word-list
LOSTOUT_2,0.005442576689353057,Does he/she get lost in the community/road?
Q31_2,0.0053467471403992935,States or indicates by gesture he/she does not know what year he/she was born
LONGMEM_2,0.005293500171196406,what was the name of the elected president who was assasinated during the israeli occupation in 1982
WORDIMM_2,0.005026957451729548,"3-word list recall (boat, house, fish)"
STREET_2,0.004864430556422584,give me the names of 2 streets near your home
Q721_2,0.004544993249581679,Listlessness or subjective   restriction of energy.
REPEAT_2,0.004454051214962753,please repeat this proverb (it might be difficult to pronounce for some)
CIRCLE_2,0.004428380241078152,score of drawing the circle
NPI7,0.0044033506562965235,Does your (xxxx) seem less interested in his or her usual activities and plans of others?
NPI10,0.004387788508199516,"Does your (xxxx) engage in repetitive activities, such as pacing around the house, handling buttons, wrapping string, or doing other things repeatedly?"
Q1707_2,0.004371803874697073,"Gait normal, just unsteady"
