Feature,Importance,description
RECALL_2,0.049739754907144676,number of words remembered correctly
LASTDAY_2,0.04438424163397088,Does he/she forget what happened the day before?
Q75_2,0.03619952673231883,evaluate: error in the year provided
LEARN3_2,0.030464876858364916,please repeat the words you can remember (third trial)
MONTH_2,0.029107262669170977,In what month are we
LEARN1_2,0.026931678167805555,please repeat the words you can remember (first trial)
MONEY_2,0.026174971958878746,Has there been a change in his/her ability to handle money?
Q1781_2,0.02584230326975765,Judgment: Problems with memory are more prominent than problems with thinking i.e. more difficulty with remembering things than working things out.
LEARN2_2,0.022395703219735004,please repeat the words you can remember (second trial)
MEMORY_2,0.02217237403005049,"We all have slight difficulties in remembering things as we get older, but has this been a particular problem for him/her?"
Q401_2,0.02112117396665498,the interviewer's believes that the elderly has a memory problem
PUT_2,0.017887250742809876,Does he/she forget where he/she has put things?
SEASON_2,0.017776910504420648,in what season are we
YEAR_2,0.01701034230033234,in what year are we
Q76_2,0.01645885822724064,evaluate: the participant says/points out that he doesn't know the year
CONVERS_2,0.016199691823573094,Does he/she forget what he/she wanted to say in the middle of the conversation?
ANIMALS_2,0.016047628874150434,participant was able to mention the names of the animals during the one minute provided
Q72_2,0.015597476216458598,evaluate: there is an error in the month provided 
LASTSEE_2,0.013710752181958273,Does he/she forget when he/she last saw you?
FRDNAME_2,0.013107702370342816,Does he/she forget the names of friends?
PAST_2,0.012618562834111932,Does he/she tend to talk about what happened long ago rather than the present?
STORY_2,0.01226376026421941,score of repeating story
REASON_2,0.011020335301661697,Have you noticed a change in his/her ability to think and reason?
ICINTCOM_2,0.009420343430927238,"* Interviewer's evaluation * Has the interview ended?
"
KEPT_2,0.008991838416457624,Does he/she forget where things are usually kept?
Q74_2,0.008828571285217711,"evaluate: at least some answers are incomplete, irrelevant or no answer"
Q31_2,0.008467257617141866,States or indicates by gesture he/she does not know what year he/she was born
Q1551_2,0.00844653966715636,"Taking everything into account, how would you describe your satisfaction with life at the present time: good, average, or weak?"
MENTAL_2,0.008270659195711204,Has there been a general decline in his/her mental functioning?  
NPI5,0.008196768985216303,"Does your (xxxx) become upset when separated from you? Does he or she have any other signs of nervousness, such as shortness of breath, sighing, being unable to relax, or feeling excessively tense?"
WORDDEL_2,0.007996013259788336,do you remember the 3 word-list
Q73_2,0.007817247988379182,evaluate: the participants says/points out that he doesn't know the month
Q331_2,0.0075891041439961286,"seems very nervous, worried, depressed or scared"
CARENEED_2,0.007556346922893427,The older person
STORE_2,0.007461676845577088,where is the local market shop located
WORDFIND_2,0.007292943183314788,When speaking does he/she have difficulty saying the right words?
STREET_2,0.007193936836303094,give me the names of 2 streets near your home
Q1561_2,0.007033001453944309,"In general, how happy are you: very happy, reasonably happy, not too happy, not happy at all?"
Q381_2,0.007010562498664812,does not remember the name of the current prime minister (if wrong give the right answer: Tamam Salam) 
NPI7,0.006900249533590833,Does your (xxxx) seem less interested in his or her usual activities and plans of others?
Q71_2,0.006483626468991179,evaluate: there is an error in the date of the week provided
TOWN_2,0.0059779415259104155,what is the name of this city/village you are currently living in
Q781_2,0.005858075385463405,Elderly seems very slow in all moves
LOSTOUT_2,0.005606845966579312,Does he/she get lost in the community/road?
Q391_2,0.005564844065187941,does not remember the name of the past prime minister (if wrong give the right answer: Najib Mikati) 
NPI4,0.0054445294880452084,Does your (xxxx) act as if he or she is sad or in low spirits? Does he or she cry?
CIRCLE_2,0.00535321887861195,score of drawing the circle
Q731_2,0.005256087055744307,"Move less than usual.

"
TRIALNO_2,0.005148025912157501,number of trials needed by participant to remember all 3 words
MUDDLED_2,0.005114063933615388,Does his/her thinking ever seem muddled?                    
NRECALL_2,0.005091363199809412,do you remember my name (interviewer's)
Q32_2,0.005043803855316703,"year of birth is incomplete, irrelevant or no reply"
HASCONF_2,0.00498557005816948,overall rating of confidence in data
Q871_2,0.004796110683514086,Admits feeling lonely
Q711_2,0.004616807276993963,"From his/her point of view, the elderly is slower in motion"
Q631_2,0.0042689711479239585,Feeling confused
Q371_2,0.00425137749638125,does not remember well the interviewer's name (little mistakes are tolerable) 
NPI3,0.004074688690410027,Is your (xxxx) stubborn and resistive to help from others?
LONGMEM_2,0.004065193682006116,what was the name of the elected president who was assasinated during the israeli occupation in 1982
IRERROR_2,0.004006372777149733,"Interviewer's evaluation: In the Direction or Memory section, did you record ""Yes"" (an indication of memory errors) or ""Not applicable"" frequently during the interview? Or was there a lot of ""not applicable"" in the rest of the interview? """
Q221_2,0.003981117365410285,Have you cried at all? How often? Has cried:
WORDIMM_2,0.0038889186269854244,"3-word list recall (boat, house, fish)"
Q1707_2,0.0038307397840864,"Gait normal, just unsteady"
Q211_2,0.0038252703805608094,depressed mood
ORIENT_2,0.0037365702550982904,Does he/she forget where he/she is?
Q641_2,0.003722749439495995,Feels indecisive
Q722_2,0.0035941172475258587,It exists most days for at least two weeks
Q481_2,0.0035359640892807117,Gets worn out or exhausted during daytime or evening
Q41_2,0.003488573698861806,States or indicates by  gesture he/she does not know how old he/she is
ACTIV_2,0.0034728750781134205,"Have you seen a change in his/her daily activities in the past several years? 
"
PAPER_2,0.00346447626187933,score of paper folding/ handling
NPI8,0.00345792096822853,"Does your (xxxx) seem to act impulsively? For example, does your (xxxx) talk to strangers as if he or she knows them, or does your (xxxx) say things that may hurt people’s feeling?"
CHANGE_2,0.0034427324084114652,does he/she have difficulty in adjusting to change in her daily routine?
Q1171_2,0.0033865288566287425,He/she finds it difficult to focus on entertainment material
REPEAT_2,0.00330691039046084,please repeat this proverb (it might be difficult to pronounce for some)
Q451_2,0.003239304223751752,"the elderly seems week, skinny, sick or disabled"
Q21_2,0.0031889390313077793,Cannot spell both his/her first and last names correctly
Q1181_2,0.0031076759237039404,He/she has difficulty focusing on reading.
Q721_2,0.0030353682809503195,Listlessness or subjective   restriction of energy.
Q341_2,0.0030301732009280036,difficulties from his/her point of view; the memory problem is a true problem for him/her
Q361_2,0.0029925418705061256,needs to make more efforts to remember things
HOBBY_2,0.002962749182969111,"Has there been a loss of a special skill or hobby he/she could manage before? 
"
Q901_2,0.002892870301699641,Feels disturbed
Q1709_2,0.002892271902209615,Takes slow shuffling steps
Q101_2,0.0028470592262632003,"give a positive answer and a short explanation like ""you examined me yesterday"". This answer is wrong"
Q502_2,0.0028324007812623735,"describes the headacke as the product of nervous tension: tension around the head, tension, stiff neck"
NPI12,0.0028061151380780087,"Has your (xxxx) lost or gained weight, or had a change in the food he she likes? "
Q501_2,0.0027943658567729417,describe the headache
Q511_2,0.0027586346857185824,loss or decreased appetite 
CHIEF_2,0.002693589045722037,what is the name of the current president
Q81_2,0.0026162848115605943,participant gave the wrong or incomplete address
NPI9,0.0025719976050572304,Is your (xxxx) impatient and cranky? Does he or she have difficulty coping with delays or waiting for planned activities?
NPI11,0.0025418853805977944,"Does your (xxxx) awaken you during the night, rise too early in the morning, or take excessive naps during the day?"
Q1182_2,0.002536966221252359,"Difficulty with some forms of concentration most days, at least for two weeks."
CHEMIST_2,0.0025361131449594555,where do we go to buy medicine/drugs
NPI1,0.0025334207083007525,"Does your (xxxx) believe that others are stealing from him or her, or planning to harm him or her in some way?"
Q1141_2,0.0025028014675640103,Participant did not enjoy almost anything
Q191_2,0.002496538565489253,subjective fear or anxiety our of proportion to the event if any that provoked the feeling.
NPI2,0.0024838511391799926,Does your (xxxx) act as if he or she hears voices? Does he or she talk to people who are not there?
Q652_2,0.002478979029707404,Appears indecisive
Q171_2,0.002355629647540485,do you have children
Q11_2,0.0023221133020231415,Cannot repeat interviewer’s name correctly even after three repetitions
Q541_2,0.002316561951570723,Problem sleeping or change in the sleeping pattern
TOILET_2,0.0023087642497355084,Does he/she have difficulty using the toilet? Does he/she wet or soil him/herself?
Q1708_2,0.0022257726022915014,Staggers as if drunk
Q82_2,0.0021915209204852555,the participant says/points our that he/she doesn't know
IRHOME_2,0.0021419807837386646,did the interview take place in the participant's home
FAMNAME_2,0.002098389726783175,Does he/she forget the names of members of the family?
CHORES_2,0.0020916725641891274,"Does he/she have difficulty performing household chores that he/she is used to do, such as preparing food or boiling a pot of tea?"
Q651_2,0.0020457453549787715,The elderly seems confused 
Q83_2,0.0019671877110433757,"incomplete, irrelevant, or no answer"
