Feature,Rank
TRIALNO_2,514
PAPER_2,512
LEARN1_2,1
RECALL_2,1
LEARN2_2,1
LEARN3_2,25
HASCONF_2,51
CARENEED_2,44
Q1551_2,43
Q1561_2,33
Q1821_2,57
Q1822_2,58
Q781_2,21
Q871_2,64
Q1709_2,70
Q1708_2,53
Q1707_2,7
Q201_2,48
Q1742_2,42
Q1744_2,62
Q1745_2,78
Q1743_2,83
Q1031_2,45
Q331_2,3
Q75_2,1
Q1242_2,65
Q1041_2,10
Q1191_2,38
Q1061_2,89
Q71_2,91
Q512_2,35
Q72_2,46
Q491_2,71
Q722_2,69
Q1042_2,77
Q911_2,84
Q1182_2,120
Q1391_2,87
Q1043_2,88
Q1251_2,26
Q1044_2,92
Q642_2,86
Q1181_2,96
Q1271_2,100
Q1201_2,103
Q1141_2,19
Q901_2,102
Q502_2,24
Q1131_2,110
Q451_2,106
Q711_2,117
Q1231_2,112
Q652_2,17
Q643_2,122
Q1221_2,130
Q641_2,114
Q1171_2,146
Q611_2,125
Q1241_2,143
Q651_2,154
Q612_2,22
Q481_2,1
Q1051_2,115
Q1222_2,149
Q613_2,166
Q221_2,158
Q721_2,145
Q511_2,134
Q631_2,155
Q1211_2,73
Q1233_2,173
Q211_2,160
Q621_2,18
Q731_2,140
Q644_2,4
Q1232_2,177
Q191_2,184
Q1052_2,178
Q401_2,1
Q501_2,162
Q1751_2,180
Q1752_2,156
Q1671_2,144
Q1781_2,209
Q1661_2,182
Q1811_2,208
Q1705_2,219
Q1704_2,203
Q1755_2,222
Q1641_2,221
Q1703_2,183
Q1741_2,231
Q1771_2,185
Q1702_2,233
Q1701_2,170
Q1652_2,237
Q1651_2,239
Q1642_2,235
Q1634_2,243
Q1635_2,52
Q1753_2,172
Q1706_2,147
Q1754_2,163
Q1633_2,255
Q1632_2,244
Q1631_2,67
STORY_2,1
DRESS_2,29
LOSTIN_2,261
TOILET_2,5
LASTSEE_2,212
PAST_2,206
LASTDAY_2,1
MENTAL_2,270
KEPT_2,268
LOSTOUT_2,12
MONEY_2,32
ACTIV_2,6
WORDFIND_2,2
CONVERS_2,241
CHANGE_2,283
WORDWRG_2,189
PUT_2,1
ORIENT_2,291
FEED_2,294
CHORES_2,230
FRDNAME_2,292
FAMNAME_2,297
Q82_2_0.0,299
Q82_2_1.0,193
Q82_2_8.0,305
Q82_2_9.0,256
Q83_2_0.0,311
Q83_2_1.0,251
Q83_2_8.0,253
Q83_2_9.0,265
Q81_2_0.0,266
Q81_2_1.0,263
Q81_2_8.0,323
Q81_2_9.0,275
NPI12_0.0,276
NPI12_1.0,195
NPI12_98.0,285
NPI2_0.0,278
NPI2_1.0,273
NPI2_98.0,337
NPI1_0.0,287
NPI1_1.0,338
NPI1_98.0,341
NPI3_0.0,15
NPI3_1.0,345
NPI3_98.0,350
NPI5_0.0,354
NPI5_1.0,347
NPI5_98.0,349
NPI7_0.0,343
NPI7_1.0,199
NPI7_98.0,307
NPI8_0.0,365
NPI8_1.0,362
NPI8_98.0,369
NPI9_0.0,309
NPI9_1.0,301
NPI9_98.0,313
NPI11_0.0,317
NPI11_1.0,376
NPI11_98.0,381
NPI6_0.0,315
NPI6_1.0,379
NPI6_98.0,373
NPI10_0.0,303
NPI10_1.0,321
NPI10_98.0,367
NPI4_0.0,319
NPI4_1.0,325
NPI4_98.0,327
ICINTCOM_2_0.0,329
ICINTCOM_2_1.0,407
Q1351_2_0.0,335
Q1351_2_1.0,399
Q1351_2_8.0,409
Q1361_2_0.0,413
Q1361_2_1.0,411
Q171_2_0.0,403
Q171_2_1.0,331
Q1441_2_0.0,289
Q1441_2_1.0,357
Q1441_2_9.0,359
Q42_2_0.0,421
Q42_2_1.0,427
Q42_2_9.0,370
Q32_2_0.0,425
Q32_2_1.0,361
Q32_2_8.0,433
Q32_2_9.0,375
Q73_2_0.0,443
Q73_2_1.0,383
Q73_2_8.0,441
Q73_2_9.0,437
IRERROR_2_0.0,14
IRERROR_2_1.0,385
IRERROR_2_9.0,451
Q1365_2_0.0,213
Q1365_2_1.0,389
Q531_2_0.0,391
Q531_2_1.0,397
Q531_2_8.0,394
Q531_2_9.0,461
Q532_2_0.0,463
Q532_2_1.0,470
Q532_2_8.0,395
Q532_2_9.0,401
Q1371_2_0.0,405
Q1371_2_1.0,465
Q1371_2_9.0,415
Q371_2_0.0,417
Q371_2_1.0,423
Q371_2_9.0,431
Q1364_2_0.0,419
Q1363_2_0.0,429
Q381_2_0.0,446
Q381_2_1.0,445
Q381_2_8.0,439
Q381_2_9.0,436
Q533_2_0.0,388
Q533_2_1.0,453
Q533_2_8.0,215
Q533_2_9.0,467
Q301_2_0.0,459
Q301_2_1.0,468
Q301_2_8.0,457
Q1381_2_0.0,455
Q1381_2_1.0,223
Q1381_2_9.0,333
Q1362_2_0.0,225
Q74_2_0.0,245
Q74_2_1.0,247
Q74_2_8.0,257
Q74_2_9.0,279
Q1368_2_0.0,351
Q1368_2_1.0,447
Q1367_2_0.0,471
Q1367_2_1.0,473
Q281_2_0.0,475
Q281_2_1.0,477
Q281_2_2.0,479
Q281_2_8.0,481
Q541_2_0.0,483
Q541_2_1.0,485
Q541_2_8.0,487
Q101_2_0.0,489
Q101_2_1.0,490
Q101_2_8.0,27
Q101_2_9.0,495
Q76_2_0.0,497
Q76_2_1.0,499
Q76_2_8.0,496
Q76_2_9.0,503
Q102_2_0.0,505
Q102_2_1.0,507
Q102_2_9.0,509
Q452_2_0.0,513
Q452_2_1.0,511
Q452_2_8.0,510
Q31_2_0.0,508
Q31_2_1.0,506
Q31_2_8.0,504
Q31_2_9.0,502
Q292_2_0.0,494
Q292_2_1.0,466
Q292_2_8.0,464
Q292_2_9.0,462
Q352_2_0.0,460
Q352_2_1.0,458
Q352_2_2.0,456
Q352_2_8.0,454
Q352_2_9.0,452
Q341_2_0.0,450
Q341_2_1.0,444
Q341_2_2.0,442
Q341_2_8.0,440
Q351_2_0.0,438
Q351_2_1.0,435
Q351_2_2.0,434
Q351_2_8.0,432
Q111_2_0.0,430
Q111_2_1.0,428
Q111_2_9.0,426
Q291_2_0.0,424
Q291_2_1.0,422
Q291_2_8.0,420
Q291_2_9.0,418
Q293_2_0.0,416
Q293_2_1.0,414
Q293_2_8.0,412
Q293_2_9.0,410
Q361_2_0.0,408
Q361_2_1.0,406
Q361_2_8.0,404
Q361_2_9.0,402
IRHOME_2_0.0,400
IRHOME_2_1.0,398
IRHOME_2_9.0,396
Q11_2_0.0,393
Q11_2_1.0,392
Q11_2_9.0,390
Q294_2_0.0,387
Q294_2_1.0,386
Q294_2_8.0,384
Q294_2_9.0,382
Q931_2_0.0,380
Q931_2_1.0,378
Q931_2_8.0,374
Q931_2_9.0,372
Q21_2_0.0,368
Q21_2_1.0,366
Q21_2_8.0,364
Q21_2_9.0,360
Q391_2_0.0,358
Q391_2_1.0,356
Q391_2_8.0,348
Q391_2_9.0,346
Q41_2_0.0,344
Q41_2_1.0,342
Q41_2_9.0,336
Q18020_2_0.0,334
Q18020_2_1.0,332
Q18020_2_9.0,330
Q17922_2_0.0,328
Q17922_2_1.0,326
Q17922_2_8.0,324
Q17922_2_9.0,322
Q1796_2_0.0,320
Q1796_2_1.0,318
Q1796_2_9.0,316
Q18014_2_0.0,314
Q18014_2_1.0,312
Q18014_2_9.0,310
Q1803_2_0.0,308
Q1803_2_1.0,306
Q1803_2_9.0,304
Q1802_2_0.0,302
Q1802_2_1.0,300
Q1802_2_9.0,298
Q17911_2_0.0,296
Q17911_2_1.0,290
Q17911_2_9.0,288
Q18019_2_0.0,286
Q18019_2_1.0,284
Q18019_2_9.0,282
Q17912_2_0.0,274
Q17912_2_1.0,272
Q17912_2_9.0,264
Q17920_2_0.0,262
Q17920_2_1.0,260
Q17920_2_9.0,254
Q17910_2_0.0,252
Q17910_2_1.0,250
Q17910_2_9.0,242
Q1791_2_0.0,240
Q1791_2_1.0,238
Q1791_2_8.0,236
Q1791_2_9.0,234
Q1801_2_0.0,232
Q1801_2_1.0,229
Q1801_2_8.0,228
Q1801_2_9.0,220
Q1804_2_0.0,218
Q1804_2_1.0,60
Q1804_2_9.0,61
Q1805_2_0.0,56
Q1805_2_9.0,72
Q1807_2_0.0,75
Q1807_2_9.0,79
Q18016_2_0.0,74
Q18016_2_1.0,66
Q18016_2_9.0,49
Q18015_2_0.0,80
Q18015_2_1.0,94
Q18015_2_9.0,82
Q1795_2_0.0,93
Q1795_2_1.0,99
Q1795_2_9.0,90
Q18017_2_0.0,76
Q18017_2_1.0,50
Q18017_2_9.0,85
Q18018_2_0.0,107
Q18018_2_1.0,109
Q18018_2_9.0,95
Q1806_2_0.0,97
Q1806_2_1.0,63
Q1806_2_9.0,59
Q18012_2_0.0,135
Q18012_2_1.0,104
Q18012_2_9.0,131
Q1808_2_0.0,105
Q1808_2_1.0,41
Q1808_2_9.0,98
Q1792_2_0.0,101
Q1792_2_1.0,118
Q1792_2_9.0,119
Q18013_2_0.0,124
Q18013_2_1.0,121
Q18013_2_9.0,116
Q18011_2_0.0,159
Q18011_2_9.0,113
Q18010_2_0.0,136
Q18010_2_1.0,54
Q18010_2_9.0,133
Q1809_2_0.0,81
Q1809_2_1.0,129
Q1809_2_9.0,139
Q1798_2_0.0,153
Q1798_2_1.0,68
Q1798_2_9.0,108
PENTAG_2_0.0,132
PENTAG_2_1.0,8
CIRCLE_2_0.0,28
CIRCLE_2_1.0,150
HAMMER_2_0.0,174
HAMMER_2_1.0,141
SHOULD_2_0.0,179
SHOULD_2_1.0,137
ELBOW_2_0.0,216
ELBOW_2_1.0,37
Chin_2_0.0,127
Chin_2_1.0,126
WATCH_2_0.0,138
WATCH_2_1.0,142
SHOES_2_0.0,148
SHOES_2_1.0,151
CHAIR_2_0.0,259
CHAIR_2_1.0,169
ANIMALS_2_0.0,258
ANIMALS_2_1.0,295
ANIMALS_2_2.0,111
ANIMALS_2_3.0,31
ANIMALS_2_4.0,204
ANIMALS_2_5.0,9
ANIMALS_2_6.0,16
ANIMALS_2_7.0,168
ANIMALS_2_8.0,152
ANIMALS_2_9.0,30
ANIMALS_2_10.0,40
ANIMALS_2_11.0,128
ANIMALS_2_12.0,36
ANIMALS_2_13.0,23
ANIMALS_2_14.0,280
ANIMALS_2_15.0,157
ANIMALS_2_16.0,281
ANIMALS_2_17.0,164
ANIMALS_2_18.0,293
ANIMALS_2_19.0,161
ANIMALS_2_20.0,340
ANIMALS_2_21.0,277
ANIMALS_2_22.0,269
ANIMALS_2_23.0,271
ANIMALS_2_24.0,200
ANIMALS_2_26.0,449
ANIMALS_2_27.0,448
ANIMALS_2_28.0,194
ANIMALS_2_30.0,165
ANIMALS_2_32.0,167
ANIMALS_2_34.0,201
ANIMALS_2_35.0,176
ANIMALS_2_40.0,210
PENCIL_2_0.0,267
PENCIL_2_1.0,190
LONGMEM_2_0.0,11
LONGMEM_2_1.0,377
REPEAT_2_0.0,217
REPEAT_2_1.0,196
NRECALL_2_0.0,227
NRECALL_2_1.0,226
WORDIMM_2_0.0,20
WORDIMM_2_1.0,171
WORDIMM_2_2.0,352
WORDIMM_2_3.0,39
TOWN_2_0.0,248
TOWN_2_1.0,249
