,perc_erroneous,erroneous,cut_off
CARERAGE_2,2.033271719038817,"452,502,561,613,633,653,702,713,733,763,813",100
CARERSEX_2,0.0,,1
CARERREL_2,0.0,,7
ABUSE_2,0.0,,4
CJOBCAT_2,0.0,,11
HELPHOUR_2,0.0,,168 i.e. number of hours per week
IRDISCR_2,0.0,,
Chin_2,0.0,,1
HELPCUT1_2,0.0,,2
HELPCUT2_2,0.0,,2
HELPCUT3_2,0.18484288354898337,98,3
CINCOM1_2,0.7393715341959335,99,13
CKINCOM_2,0.0,,
CKINCOM_2/1,0.0,,
CKINCOM_2/2,0.0,,
CKINCOM_2/3,0.0,,
CKINCOM_2/4,0.0,,
CKINCOM_2/5,0.0,,
CKINCOM_2/6,0.0,,
CKINCOM_2/7,0.0,,
CKINCOM_2/8,0.0,,
agepart,0.7393715341959335,999,100
ageinfo,0.9242144177449169,"766,999",100
agedoc,2.957486136783734,999,100
agedisc,0.0,,100
ageexpl,0.0,,100
age1,0.0,,100
agediscy,0.0,,100
age2,0.0,,100
accstat,0.0,,1
rentwk,0.0,,
rooms,0.0,,
adults,0.0,,
child,0.0,,
res_total,0.0,,
corage1,0.18484288354898337,651,100
corsex1,0.0,,1
correl1,0.0,,10
coredu1,0.0,,5
corage2,0.18484288354898337,811,100
corsex2,0.0,,1
correl2,0.0,,10
coredu2,0.0,,5
corage3,0.0,,100
corsex3,0.0,,1
correl3,0.0,,10
coredu3,0.0,,5
corage4,0.0,,100
corsex4,0.0,,1
correl4,0.0,,10
coredu4,0.0,,5
corage5,0.0,,100
corsex5,0.0,,1
correl5,0.0,,10
coredu5,0.0,,5
corage6,0.0,,100
corsex6,0.0,,1
correl6,0.0,,10
coredu6,0.0,,5
corage7,0.0,,100
corsex7,0.0,,1
correl7,0.0,,10
coredu7,0.0,,5
corage8,0.0,,100
corsex8,0.0,,1
correl8,0.0,,10
coredu8,0.0,,5
corage9,0.0,,100
corsex9,0.0,,1
correl9,0.0,,10
coredu9,0.0,,5
corage10,0.0,,100
corsex10,0.0,,1
correl10,0.0,,10
coredu10,0.0,,5
cars,0.0,,
LEARN1_2,2.2181146025878005,"22,24,33,35,53,56,66,76,777",10
LEARN2_2,1.2939001848428837,"45,54,66,76,88,688",10
LEARN3_2,0.0,,10
NAME_2,0.0,,1
PENCIL_2,0.0,,1
WATCH_2,0.0,,1
CHAIR_2,0.0,,1
SHOES_2,0.0,,1
ELBOW_2,0.0,,1
SHOULD_2,0.0,,1
HAMMER_2,0.0,,1
PRAY_2,0.0,,1
CHEMIST_2,0.0,,1
REPEAT_2,0.0,,1
RECALL_2,0.0,,
NRECALL_2,0.0,,1
ANIMALS_2,136.22920517560073,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,30,32,34,35,40",1
WORDIMM_2,0.0,,3
TRIALNO_2,0.0,,
TOWN_2,0.0,,1
CHIEF_2,0.0,,1
STREET_2,0.0,,1
STORE_2,0.0,,1
ADDRESS_2,0.0,,1
WORDDEL_2,0.0,,3
LONGMEM_2,0.0,,1
MONTH_2,0.0,,1
DAY_2,0.0,,1
YEAR_2,0.0,,1
SEASON_2,0.0,,1
NOD_2,0.0,,1
POINT_2,0.0,,1
PAPER_2,0.0,,
CIRCLE_2,0.0,,1
PENTAG_2,0.0,,1
STORY_2,0.0,,
Q11_2,0.9242144177449169,9,3
Q21_2,15.341959334565619,"8,9",3
Q31_2,1.2939001848428837,"8,9",3
Q32_2,1.478743068391867,"8,9",3
Q41_2,1.1090573012939002,9,3
Q42_2,1.2939001848428837,9,3
Q51_2,0.5545286506469501,"8,9",3
Q52_2,9.796672828096119,"8,9",3
Q53_2,13.67837338262477,"8,9",3
Q54_2,13.493530499075785,"8,9",3
Q71_2,4.436229205175601,"8,9",4
Q72_2,4.621072088724584,"8,9",4
Q73_2,2.4029574861367835,"8,9",3
Q74_2,2.2181146025878005,"8,9",3
Q75_2,4.066543438077634,"8,9",4
Q76_2,1.478743068391867,"8,9",3
IRHOME_2,0.18484288354898337,9,3
Q81_2,0.5545286506469501,"8,9",3
Q82_2,0.7393715341959335,"8,9",3
Q83_2,1.1090573012939002,"8,9",3
Q91_2,0.0,,3
Q92_2,0.18484288354898337,8,3
Q93_2,2.5878003696857674,9,3
Q101_2,2.033271719038817,"8,9",3
Q102_2,0.9242144177449169,9,3
Q111_2,0.7393715341959335,9,3
Q161_2,0.5545286506469501,"8,9",3
Q162_2,0.7393715341959335,"8,9",3
Q163_2,0.5545286506469501,"8,9",3
Q164_2,0.7393715341959335,"8,9",3
Q141_2,0.36968576709796674,8,3
Q142_2,0.36968576709796674,8,3
Q151_2,0.5545286506469501,8,3
Q171_2,0.0,,3
Q181_2,0.7393715341959335,"8,9",3
Q191_2,0.36968576709796674,8,4
Q201_2,1.2939001848428837,"8,9",4
Q211_2,0.7393715341959335,8,4
