COLUMN,cut_off,description,erroneous,perc_erroneous
ANIMALS_2,1,participant was able to mention the names of the animals during the one minute provided,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,30,32,34,35,40",136.22920517560073
Q1181_2,4,He/she has difficulty focusing on reading.,"8,9",32.71719038817005
Q21_2,3,Cannot spell both his/her first and last names correctly,"8,9",15.341959334565619
Q53_2,3,the difference is between 2 to 3 years ,"8,9",13.67837338262477
Q54_2,3,the difference is more than 3 years,"8,9",13.493530499075785
Q52_2,3,contradiction between year of birth and age provided by participant and not corrected (disregard if one year difference only),"8,9",9.796672828096119
Q1391_2,4,The participant admits that it is a problem,9,5.914972273567468
Q1441_2,3,The interviewer believes that the participant has a drinking problem.,9,4.805914972273566
Q72_2,4,evaluate: there is an error in the month provided ,"8,9",4.621072088724584
Q71_2,4,evaluate: there is an error in the date of the week provided,"8,9",4.436229205175602
Q1381_2,3,He/she does this,9,4.436229205175602
Q1182_2,4,"Difficulty with some forms of concentration most days, at least for two weeks.","8,9",4.436229205175602
Q75_2,4,evaluate: error in the year provided,"8,9",4.066543438077634
Q1704_2,4,Obvious abnormality of walking.,9,3.8817005545286505
Q752_2,3,Slowing down and lacking energy is worst in the evening.,"8,9",3.5120147874306835
Q294_2,3,the circumstances of the participant explains the pessimism,"8,9",3.142329020332717
Q761_2,3,does not get decreased in the presence of fun activities normally.,"8,9",2.957486136783734
agedoc,100,Age stated in document:,999,2.957486136783734
Q751_2,3,Slowing down and lacking energy is worst in the morning.,"8,9",2.7726432532347505
Q631_2,4,Feeling confused,8,2.7726432532347505
Q293_2,3,genenral status of hoplessness or depression,"8,9",2.5878003696857674
Q291_2,3,not pessimistic but doesn’t have something to do/wait for (lives day by day),"8,9",2.5878003696857674
Q93_2,3,error in name (partial name given is accepted),9,2.5878003696857674
Q621_2,4,Subjective slowing in thinking.,8,2.5878003696857674
Q262_2,3,mostly in the afternoon,"8,9",2.4029574861367835
Q642_2,4,"A feeling of confused thinking or hesitation is present for most days, for at least two weeks.","8,9",2.4029574861367835
Q292_2,3,"is pessimistic, doesn’t see a future ahead/ the future is unbearable","8,9",2.4029574861367835
Q73_2,3,evaluate: the participants says/points out that he doesn't know the month,"8,9",2.4029574861367835
Q271_2,3,nothing helps soothing the changing mood,"8,9",2.2181146025878005
Q74_2,3,"evaluate: at least some answers are incomplete, irrelevant or no answer","8,9",2.2181146025878005
Q753_2,4,Slowing down exists most days for at least for two weeks.,"8,9",2.2181146025878005
Q644_2,4,Lack of self-confidence,"8,9",2.2181146025878005
LEARN1_2,10,please repeat the words you can remember (first trial),"22,24,33,35,53,56,66,76,777",2.2181146025878005
Q361_2,3,needs to make more efforts to remember things,"8,9",2.2181146025878005
Q263_2,3,mostly at night,"8,9",2.2181146025878005
Q281_2,4,felt life not worth living,8,2.033271719038817
Q101_2,3,"give a positive answer and a short explanation like ""you examined me yesterday"". This answer is wrong","8,9",2.033271719038817
Q261_2,3,mostly during the day/morning,"8,9",2.033271719038817
REASON_2,2,Have you noticed a change in his/her ability to think and reason?,"98,99",2.033271719038817
Q641_2,4,Feels indecisive,"8,9",2.033271719038817
Q643_2,4,The feeling of not coping well with the daily routine.,"8,9",2.033271719038817
Q741_2,3,Began or worsened during the past three months.,"8,9",1.8484288354898335
Q272_2,4,the depression lasts for hours even when seeing visitors or being intertained,"8,9",1.6635859519408502
Q1141_2,4,Participant did not enjoy almost anything,"8,9",1.6635859519408502
Q502_2,4,"describes the headacke as the product of nervous tension: tension around the head, tension, stiff neck","8,9",1.6635859519408502
HOBBY_2,2,"Has there been a loss of a special skill or hobby he/she could manage before? 
","98,99",1.6635859519408502
Q76_2,3,evaluate: the participant says/points out that he doesn't know the year,"8,9",1.478743068391867
Q221_2,4,Have you cried at all? How often? Has cried:,"8,9",1.478743068391867
Q331_2,6,"seems very nervous, worried, depressed or scared","8,9",1.478743068391867
Q32_2,3,"year of birth is incomplete, irrelevant or no reply","8,9",1.478743068391867
Q1171_2,4,He/she finds it difficult to focus on entertainment material,"8,9",1.478743068391867
Q1707_2,4,"Gait normal, just unsteady",9,1.478743068391867
Q1705_2,4,Obvious evidence of paralysis or stroke.,9,1.478743068391867
Q491_2,4,difficulty to relax,"8,9",1.478743068391867
Q1131_2,4,Participant has less interests in the past month than he/she usually has,"8,9",1.2939001848428835
Q891_2,3,Worried about living alone in the future,8,1.2939001848428835
Q1044_2,4,The imaginary feeling of lack of self-value and guilt most days.,8,1.2939001848428835
Q1043_2,4,Feeling excessive guilt or lack of self-value most days for at least two weeks.,8,1.2939001848428835
Q201_2,4,episode of anxiety which participant tries to terminate e.g. by running out of room.,"8,9",1.2939001848428835
Q341_2,4,difficulties from his/her point of view; the memory problem is a true problem for him/her,8,1.2939001848428835
Q771_2,4,Sits or lies down due to lack of energy,"8,9",1.2939001848428835
Q613_2,4,Other physical manifestations of anxiety,8,1.2939001848428835
Q1222_2,4,"Illusions that involve sexual sensations, for example, from telepathy, an imaginary lover having sex with the participant during the night, etc.
(If the answer is positive, evaluate as ""yes, simple"" or  ""yes, severe"").","8,9",1.2939001848428835
Q1551_2,4,"Taking everything into account, how would you describe your satisfaction with life at the present time: good, average, or weak?",8,1.2939001848428835
Q481_2,4,Gets worn out or exhausted during daytime or evening,8,1.2939001848428835
Q352_2,4,forgets were he/she puts stuff,"8,9",1.2939001848428835
Q612_2,4,Trembling or tremulous feeling due to anxiety.,8,1.2939001848428835
Q611_2,4,"Palpitations (i.e. patient is conscious of his/her heartbeat which is not due to exercise, but usually accompanied by anxiety.",8,1.2939001848428835
Q42_2,3,"age is incomplete, irrelevant or no reply",9,1.2939001848428835
Q31_2,3,States or indicates by gesture he/she does not know what year he/she was born,"8,9",1.2939001848428835
Q1709_2,4,Takes slow shuffling steps,9,1.2939001848428835
Q1708_2,4,Staggers as if drunk,9,1.2939001848428835
Q1706_2,4,"Obvious evidence of physical abnormality of the legs like arthritis, amputation, or gross swelling.",9,1.2939001848428835
LEARN2_2,10,please repeat the words you can remember (second trial),"45,54,66,76,88,688",1.2939001848428835
