,perc_missing
ABUSE_2,99.4140625
CJOBCAT_2,73.046875
HELPHOUR_2,96.2890625
HELPCUT1_2,96.2890625
HELPCUT2_2,85.9375
HELPCUT3_2,96.875
CINCOM1_2,90.625
CKINCOM_2,82.12890625
CKINCOM_2/1,97.265625
CKINCOM_2/2,99.51171875
CKINCOM_2/3,100.0
CKINCOM_2/4,83.203125
CKINCOM_2/5,96.875
CKINCOM_2/6,77.34375
CKINCOM_2/7,99.0234375
CKINCOM_2/8,98.046875
agepart,76.46484375
ageinfo,76.46484375
agedoc,76.46484375
agedisc,78.7109375
ageexpl,96.875
age1,97.36328125
agediscy,99.51171875
age2,97.55859375
accstat,76.46484375
rentwk,76.46484375
rooms,76.46484375
adults,76.46484375
child,76.46484375
res_total,76.46484375
corage1,84.1796875
corsex1,84.1796875
correl1,84.1796875
coredu1,84.27734375
corage2,90.52734375
corsex2,90.52734375
correl2,90.52734375
coredu2,90.52734375
corage3,94.04296875
corsex3,94.04296875
correl3,94.04296875
coredu3,94.04296875
corage4,96.484375
corsex4,96.484375
correl4,96.484375
coredu4,96.484375
corage5,98.046875
corsex5,98.046875
correl5,98.046875
coredu5,98.046875
corage6,98.4375
corsex6,98.4375
correl6,98.4375
coredu6,98.4375
corage7,99.0234375
corsex7,99.0234375
correl7,99.0234375
coredu7,99.0234375
corage8,99.12109375
corsex8,99.12109375
correl8,99.12109375
coredu8,99.12109375
corage9,99.21875
corsex9,99.21875
correl9,99.21875
coredu9,99.21875
corage10,99.70703125
corsex10,99.70703125
correl10,99.70703125
coredu10,99.70703125
cars,76.5625
DAY_2,51.3671875
Q51_2,83.10546875
Q52_2,83.10546875
Q53_2,83.203125
Q54_2,83.203125
Q91_2,72.8515625
Q92_2,72.8515625
Q93_2,72.8515625
Q161_2,53.22265625
Q162_2,53.22265625
Q163_2,53.80859375
Q164_2,53.61328125
Q141_2,53.515625
Q142_2,53.7109375
Q151_2,53.61328125
Q241_2,66.015625
Q242_2,65.91796875
Q243_2,66.015625
Q251_2,65.72265625
Q261_2,65.72265625
Q262_2,65.72265625
Q263_2,65.72265625
Q271_2,65.72265625
Q272_2,65.8203125
Q311_2,96.2890625
Q312_2,97.36328125
Q313_2,97.36328125
Q321_2,97.55859375
Q322_2,97.55859375
Q332_2,87.40234375
Q333_2,87.59765625
Q334_2,87.59765625
Q335_2,87.59765625
Q362_2,72.0703125
Q363_2,72.16796875
Q364_2,72.0703125
Q365_2,72.0703125
Q366_2,82.03125
Q367_2,97.75390625
Q368_2,98.4375
Q369_2,97.8515625
Q3610_2,98.33984375
Q471_2,96.6796875
Q521_2,89.35546875
Q522_2,89.35546875
Q523_2,89.16015625
Q542_2,81.8359375
Q543_2,81.8359375
Q544_2,82.03125
Q545_2,81.93359375
Q551_2,81.93359375
Q561_2,81.93359375
Q571_2,84.86328125
Q581_2,84.86328125
Q582_2,84.86328125
Q741_2,61.62109375
Q751_2,61.5234375
Q752_2,61.62109375
Q753_2,61.5234375
Q761_2,61.5234375
Q771_2,61.5234375
Q881_2,79.00390625
Q882_2,79.00390625
Q891_2,79.00390625
Q921_2,97.75390625
Q922_2,97.75390625
Q923_2,97.75390625
Q951_2,96.09375
Q952_2,96.09375
Q961_2,96.09375
Q971_2,96.2890625
Q981_2,96.2890625
Q982_2,96.2890625
Q991_2,96.2890625
Q1001_2,98.6328125
Q1002_2,98.6328125
Q1011_2,98.6328125
Q1012_2,98.6328125
Q1021_2,96.484375
Q1022_2,96.38671875
Q1151_2,90.4296875
Q1152_2,90.4296875
Q1153_2,90.4296875
Q1161_2,90.33203125
Q1281_2,99.12109375
Q1291_2,99.12109375
Q1301_2,96.38671875
Q1302_2,96.38671875
Q1303_2,96.38671875
Q1304_2,96.38671875
Q1305_2,96.2890625
Q1306_2,96.2890625
Q1307_2,96.2890625
Q1366_2,52.34375
Q1401_2,98.14453125
Q1411_2,98.33984375
Q1412_2,98.4375
Q1421_2,99.4140625
Q1431_2,99.4140625
Q1451_2,58.88671875
Q1452_2,58.7890625
Q1453_2,58.69140625
Q1454_2,58.69140625
Q1581_2,95.703125
Q1582_2,95.80078125
Q1591_2,95.703125
Q1601_2,95.703125
Q1602_2,95.703125
Q1611_2,95.703125
Q1621_2,95.703125
CAREEDUC_2,43.65234375
DAY1A_2,51.171875
DAY1B_2,78.90625
DAY2A_2,50.48828125
DAY2B_2,80.078125
CAREWHO1_2,85.9375
CAREWHO2_2,85.9375
CUTBACK_2,85.9375
CUTWHEN_2,99.8046875
CUTHOUR_2,99.4140625
CAREHELP_2,85.9375
HRHELP_2,99.90234375
ZB1_2,85.9375
ZB2_2,85.9375
ZB3_2,85.9375
ZB4_2,85.9375
ZB5_2,85.9375
ZB6_2,85.9375
ZB7_2,85.9375
ZB8_2,85.9375
ZB9_2,85.9375
ZB10_2,85.9375
ZB11_2,85.9375
ZB12_2,85.9375
ZB13_2,85.9375
ZB14_2,85.9375
ZB15_2,85.9375
ZB16_2,85.9375
ZB17_2,85.9375
ZB18_2,85.9375
ZB19_2,85.9375
ZB20_2,85.9375
ZB21_2,85.9375
ZB22_2,85.9375
CHOREDIS_2,85.9375
FEEDDIS_2,95.1171875
DRESSDIS_2,88.28125
TOILDIS_2,93.65234375
CLOUDING,79.58984375
CONFNITE,79.58984375
CONFDAY,79.58984375
NOCTURN,95.8984375
NPI1SEV,99.4140625
NPI1DIS,99.4140625
NPI2SEV,50.78125
NPI2DIS,50.87890625
NPI3SEV,50.48828125
NPI3DIS,50.48828125
NPI4SEV,49.51171875
NPI4DIS,49.51171875
NPI5SEV,50.390625
NPI5DIS,50.48828125
NPI6SEV,50.78125
NPI6DIS,50.78125
NPI7SEV,47.65625
NPI7DIS,47.65625
NPI8SEV,50.29296875
