,perc_missing
LOSTOUT_2,1.171875
CONVERS_2,1.171875
FAMNAME_2,1.171875
FRDNAME_2,1.171875
ORIENT_2,1.171875
KEPT_2,1.171875
MUDDLED_2,1.171875
CHORES_2,1.171875
HOBBY_2,1.171875
MONEY_2,1.171875
CHANGE_2,1.171875
ACTIV_2,1.171875
FEED_2,1.171875
PUT_2,1.171875
MEMORY_2,1.171875
MENTAL_2,1.171875
WORDWRG_2,1.171875
WORDFIND_2,1.171875
TOILET_2,1.26953125
LASTSEE_2,1.26953125
LASTDAY_2,1.26953125
PAST_2,1.26953125
LOSTIN_2,1.3671875
DRESS_2,1.46484375
REASON_2,1.66015625
MISTAKE_2,1.66015625
TOWN_2,2.34375
CHEMIST_2,2.34375
PRAY_2,2.34375
HAMMER_2,2.34375
SHOULD_2,2.34375
ELBOW_2,2.34375
SHOES_2,2.34375
CHAIR_2,2.34375
WATCH_2,2.34375
PENCIL_2,2.34375
NAME_2,2.34375
LEARN3_2,2.34375
LEARN2_2,2.34375
LEARN1_2,2.34375
Chin_2,2.34375
RECALL_2,2.34375
NRECALL_2,2.34375
REPEAT_2,2.34375
YEAR_2,2.34375
CHIEF_2,2.34375
STREET_2,2.34375
STORE_2,2.34375
ADDRESS_2,2.34375
WORDDEL_2,2.34375
LONGMEM_2,2.34375
MONTH_2,2.34375
ANIMALS_2,2.34375
SEASON_2,2.34375
NOD_2,2.34375
POINT_2,2.34375
WORDIMM_2,2.34375
PAPER_2,2.44140625
CIRCLE_2,2.44140625
PENTAG_2,2.44140625
STORY_2,2.44140625
TRIALNO_2,2.5390625
Q17910_2,2.63671875
Q17911_2,2.63671875
Q18019_2,2.63671875
Q17912_2,2.63671875
Q18018_2,2.63671875
Q18017_2,2.63671875
Q17920_2,2.63671875
Q17922_2,2.63671875
Q18016_2,2.63671875
Q18012_2,2.63671875
Q18015_2,2.63671875
Q1802_2,2.63671875
Q1803_2,2.63671875
Q1804_2,2.63671875
Q1805_2,2.63671875
Q1806_2,2.63671875
Q18014_2,2.63671875
Q1807_2,2.63671875
Q18013_2,2.63671875
Q1798_2,2.63671875
Q1808_2,2.63671875
Q18011_2,2.63671875
Q1801_2,2.63671875
Q1796_2,2.63671875
Q1704_2,2.63671875
Q1792_2,2.63671875
Q1702_2,2.63671875
Q1701_2,2.63671875
Q1652_2,2.63671875
Q1809_2,2.63671875
Q1651_2,2.63671875
Q1642_2,2.63671875
Q1641_2,2.63671875
Q1635_2,2.63671875
Q1634_2,2.63671875
Q1795_2,2.63671875
Q1632_2,2.63671875
Q1633_2,2.63671875
Q1705_2,2.63671875
Q1706_2,2.63671875
Q1741_2,2.63671875
Q1753_2,2.63671875
Q1754_2,2.63671875
Q1755_2,2.63671875
Q1771_2,2.63671875
Q1791_2,2.63671875
Q1703_2,2.63671875
Q1631_2,2.63671875
Q18010_2,2.63671875
Q1781_2,2.734375
Q1661_2,2.734375
Q1671_2,2.734375
Q1811_2,2.734375
Q18020_2,2.734375
