COLUMN,data_type,description,cat_options,val_range,min,max,distribution,perc_missing,perc_erroneous,erroneous,cut_off
CARERAGE_2,numeric,How old are you?,,16.0-1982.0,16,1982,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CAREAGE.png,0,2.033271719,"452,502,561,613,633,000,000,000,000,000,000",100
CARERSEX_2,categorical,CODE GENDER,"female,male","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CARESEX.png,0,0,,1
CARERREL_2,ordinal,What is your relationship to the elderly,"spouse,son/daughter,son/daughter in law,sister/brother,other relative,friend,neighbor,other  ","1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0",1,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CAREREL.png,0,0,,7
IRDISCR_2,boolean,"Interviewer rating: was there any discrepancy between stated birth date and stated age?
",,"0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/IRDELHAL.png,0,0,,
Chin_2,categorical,what is this called (interviewer shows a chin),"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/KNUCKLE.png,0,0,,1
LEARN1_2,numeric,please repeat the words you can remember (first trial),,0.0-777.0,0,777,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/LEARN1.png,0,2.218114603,"22,24,33,35,53,56,66,76,777",10
LEARN2_2,numeric,please repeat the words you can remember (second trial),,0.0-688.0,0,688,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/LEARN2.png,0,1.293900185,"45,54,66,76,88,688",10
LEARN3_2,numeric,please repeat the words you can remember (third trial),,0.0-10.0,0,10,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/LEARN3.png,0,0,,10
NAME_2,categorical,my name is x can you please repeat it,"cannot repeat name,can repeat the name","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/NAME.png,0,0,,1
PENCIL_2,categorical,what is this called (interviewer shows a pencil),"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/PENCIL.png,0,0,,1
WATCH_2,categorical,what is this called (interviewer shows a watch),"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/WATCH.png,0,0,,1
CHAIR_2,categorical,what is this called (interviewer shows a chair),"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CHAIR.png,0,0,,1
SHOES_2,categorical,what is this called (interviewer shows a shoe),"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/SHOES.png,0,0,,1
ELBOW_2,categorical,what is this called (interviewer shows an elbow),"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/ELBOW.png,0,0,,1
SHOULD_2,categorical,what is this called (interviewer shows a shoulder),"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/SHOULD.png,0,0,,1
HAMMER_2,categorical,what is the function of a hammer,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/HAMMER.png,0,0,,1
PRAY_2,categorical,what do people do at the church/ mosque,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/PRAY.png,0,0,,1
CHEMIST_2,categorical,where do we go to buy medicine/drugs,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CHEMIST.png,0,0,,1
REPEAT_2,categorical,please repeat this proverb (it might be difficult to pronounce for some),"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/REPEAT.png,0,0,,1
RECALL_2,numeric,number of words remembered correctly,,0.0-83.0,0,83,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/RECALL.png,0,0,,
NRECALL_2,categorical,do you remember my name (interviewer's),"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/NRECALL.png,0,0,,1
