parent,parent_perc_missing,parent_desc,child,child_perc_missing,child_desc,relation2parent
DAYPAID_2,-1,Is anyone paid (other than the living maid) to help the elderly during the day?,ABUSE_2,99.4140625,Is there a concern of abuse between the paid caregiver and elderly? ,DAYPAID_2=2 or DAYPAID_2=3 or DAYPAID_2=4 or DAYPAID_2=98
,,,HRHELP_2,99.90234375,How many hours is this person available for help? ,DAYPAID_2=2 or DAYPAID_2=3 or DAYPAID_2=4 or DAYPAID_2=98
CJOB_2,28.61328125,Do you have a job currently? ,CJOBCAT_2,73.046875,what is your job,CJOB_2=1 or CJOB_2=2
CAREHELP_2,85.9375,Do any other friends or relatives regularly help to care for the elderly,HELPHOUR_2,96.2890625,For how many hours per week on average do they stand in for you?,CAREHELP_2=1
,,,HELPCUT1_2,96.2890625,Have any friends and relatives stayed off work over the last 3 months to help with caregiving?,CAREHELP_2=1
HELPCUT2_2,85.9375,Does the elderly have a maid living in the house?,HELPCUT3_2,96.875,Does the maid take care of the elderly?,HELPCUT2_2=1
CINCOM_2,28.7109375,Do you have any income (the job or other)?,CINCOM1_2,90.625,What is your monthly income?,CINCOM_2=1
,,,CKINCOM_2,82.12890625,What is the kind of income?,CINCOM_2=1
agepart,76.46484375,Age reported by participant:,agedisc,78.7109375,"Is there a discrepancy, of at least one year between the ages obtained from the three different sources?",agepart!=999 and ageinfo!=999 and agedoc!=999
,,,age2,97.55859375,Age according to Events Calendar.,agepart=999 or ageinfo=999 or agedoc=999 or agediscy=1
ageinfo,76.46484375,Age reported by informant:,agedisc,78.7109375,"Is there a discrepancy, of at least one year between the ages obtained from the three different sources?",agepart!=999 and ageinfo!=999 and agedoc!=999
,,,age2,97.55859375,Age according to Events Calendar.,agepart=999 or ageinfo=999 or agedoc=999 or agediscy=1
agedoc,76.46484375,Age stated in document:,agedisc,78.7109375,"Is there a discrepancy, of at least one year between the ages obtained from the three different sources?",agepart!=999 and ageinfo!=999 and agedoc!=999
,,,age2,97.55859375,Age according to Events Calendar.,agepart=999 or ageinfo=999 or agedoc=999 or agediscy=1
