column_name,feature_importance,20_best,10_best
LASTDAY_2,0.004633255,,
Q401_2,0,,
LEARN1_2,0.042095846,1,1
Q75_2,0.037002353,1,1
RECALL_2,0.03582637,1,1
LEARN2_2,0.000845917,,
WORDFIND_2,0,,
Q481_2,0.005148061,,
PUT_2,0.005491265,,
CHIEF_2_1.0,0,,
CHANGE_2,0,,
TOILET_2,0,,
ANIMALS_2_6.0,0.010840023,,
Q331_2,0.004118449,,
STORY_2,0,,
Q731_2,0,,
Q644_2,0,1,
LOSTOUT_2,0,,
CARENEED_2,0,,
MONTH_2_0.0,0,,
REASON_2_0.0,0,,
NPI3_1.0,0,,
Q391_2_1.0,0,,
LONGMEM_2_0.0,0.013914813,1,
Q1704_2,0.03497008,1,1
Q191_2,0,,
Q171_2_1.0,0,,
Q612_2,0.000936001,,
ANIMALS_2_5.0,0,,
WORDIMM_2_1.0,0.004942138,,
Q1041_2,0,,
Q102_2_1.0,0,,
ELBOW_2_1.0,0,,
WORDIMM_2_0.0,0,,
Q1141_2,0,,
Q1632_2,0,,
Q631_2,0,,
Q781_2,0,,
ACTIV_2,0,,
Q491_2,0.002799504,,
ANIMALS_2_10.0,0,,
FRDNAME_2,0,,
Q73_2_0.0,0.005957042,,
WORDDEL_2_3.0,0,,
Q291_2_8.0,0,,
Q1171_2,0.005844881,,
Q652_2,0,,
Q1754_2,0.004382192,,
Q291_2_1.0,0,,
SEASON_2_1.0,0,,
Q32_2_1.0,0,,
HASCONF_2,0,,
Q901_2,0.00495539,,
Q541_2_1.0,0,,
Q351_2_1.0,0,,
WORDIMM_2_3.0,0.006674093,,
IRERROR_2_1.0,0,,
Q1251_2,0,,
Q101_2_8.0,0,,
NAME_2_0.0,0,,
DRESS_2,0,,
ADDRESS_2_1.0,0.020732644,1,1
Q1808_2_1.0,0,,
Q1191_2,0,,
LEARN3_2,0.004942138,,
CIRCLE_2_1.0,0,,
ANIMALS_2_12.0,0,,
TRIALNO_2,0,,
PAPER_2,0,,
Q1551_2,0,,
Q1561_2,0,,
Q1821_2,0,,
Q1822_2,0.006949882,,
Q871_2,0.005883498,,
Q1709_2,0.01123594,1,
Q1708_2,0,,
Q1707_2,0.004633255,,
Q201_2,0.007581689,,
Q1742_2,0.087319029,1,1
Q1744_2,0,,
Q1745_2,0,,
Q1743_2,0,,
Q1031_2,0,,
Q1242_2,0,,
Q1061_2,0,,
Q71_2,0,,
