Feature,description
LASTDAY_2,Does he/she forget what happened the day before?
Q75_2,evaluate: error in the year provided
YEAR_2,in what year are we
RECALL_2,number of words remembered correctly
MEMORY_2,"We all have slight difficulties in remembering things as we get older, but has this been a particular problem for him/her?"
LEARN3_2,please repeat the words you can remember (third trial)
Q1781_2,Judgment: Problems with memory are more prominent than problems with thinking i.e. more difficulty with remembering things than working things out.
LEARN2_2,please repeat the words you can remember (second trial)
LEARN1_2,please repeat the words you can remember (first trial)
PUT_2,Does he/she forget where he/she has put things?
