model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_144,0.91860,0.79020,0.57214,0.71993,0.99101,0.59104,0.9004046009590355,0.79581,0.72181,0.99101,0.83127,0.79103
model_324,0.90937,0.77583,0.53808,0.70627,0.98494,0.56841,0.9483154383861757,0.77983,0.70902,0.98494,0.81961,0.77668
model_48,0.90748,0.78865,0.55891,0.72799,0.97494,0.60450,0.9443924275228716,0.78995,0.73422,0.97494,0.82930,0.78972
model_323,0.90337,0.79339,0.57967,0.72390,0.96449,0.62346,0.9820633160388705,0.79759,0.73128,0.96449,0.82797,0.79398
model_247,0.89944,0.78362,0.56785,0.71762,0.96128,0.60739,0.9959159940771128,0.78995,0.72472,0.96128,0.82303,0.78434
model_119,0.89582,0.79840,0.59165,0.73125,0.95096,0.64711,0.9313655721157881,0.80291,0.74280,0.95096,0.82829,0.79904
model_302,0.89197,0.77078,0.51701,0.71075,0.95913,0.58459,0.960134623254261,0.77255,0.71915,0.95913,0.81404,0.77186
model_120,0.88885,0.72649,0.42424,0.67119,0.97838,0.47797,0.9755080160761646,0.72816,0.67454,0.97838,0.78964,0.72818
model_293,0.88774,0.72335,0.43303,0.66882,0.97446,0.47550,0.9581136506221734,0.73011,0.67250,0.97446,0.78911,0.72498
model_46,0.88596,0.69761,0.36967,0.64752,0.98754,0.41191,0.9738899614738026,0.70241,0.65004,0.98754,0.77531,0.69973
model_422,0.87791,0.71980,0.41000,0.66747,0.96515,0.47739,0.9604457021885718,0.71928,0.67381,0.96515,0.78235,0.72127
model_231,0.87765,0.71012,0.39579,0.65491,0.96808,0.45516,0.9667074161818571,0.71271,0.65935,0.96808,0.77665,0.71162
model_70,0.87617,0.63339,0.25083,0.60591,1.00000,0.27391,0.9658620804068848,0.64471,0.60591,1.00000,0.74653,0.63695
model_399,0.87199,0.73429,0.45724,0.67917,0.94424,0.52671,0.970996562334269,0.73722,0.68776,0.94424,0.78859,0.73548
model_243,0.86835,0.62017,0.22560,0.59399,0.99417,0.25280,0.9802032358661141,0.63121,0.59432,0.99417,0.73662,0.62349
model_122,0.86777,0.77614,0.53700,0.72322,0.91554,0.63840,0.9538894327435307,0.77770,0.74318,0.91554,0.81184,0.77697
model_477,0.85860,0.58305,0.17724,0.57140,0.99159,0.18305,0.9680017677729545,0.60192,0.57239,0.99159,0.72007,0.58732
model_285,0.85523,0.71713,0.41856,0.66829,0.93392,0.50375,0.9969529175535441,0.71839,0.66753,0.93392,0.76718,0.71883
model_239,0.85508,0.56123,0.13877,0.56016,0.99435,0.13808,0.9584012611907489,0.58310,0.56014,0.99435,0.71162,0.56622
model_116,0.85272,0.53655,0.10360,0.54487,1.00000,0.08474,0.9409358748896564,0.56374,0.54487,1.00000,0.70195,0.54237
model_225,0.85106,0.53705,0.08787,0.54372,1.00000,0.08512,0.9864250177823197,0.55984,0.54372,1.00000,0.70007,0.54256
model_412,0.85076,0.58191,0.13253,0.57270,0.98655,0.18498,0.9246667687126692,0.58878,0.57490,0.98655,0.71495,0.58577
model_233,0.85027,0.54484,0.10557,0.55160,0.99381,0.10728,0.9901586284135075,0.56765,0.55167,0.99381,0.70416,0.55054
model_299,0.84932,0.54307,0.10835,0.55027,0.99243,0.10416,0.9803453882571905,0.56658,0.55024,0.99243,0.70303,0.54830
model_249,0.84887,0.54872,0.11264,0.55120,0.99040,0.11725,0.9777181691787519,0.57049,0.55126,0.99040,0.70367,0.55383
model_224,0.84867,0.52479,0.07670,0.53985,0.99886,0.06318,0.9912807971744689,0.55167,0.53988,0.99886,0.69672,0.53102
model_118,0.84807,0.54494,0.10082,0.55094,0.99118,0.10959,0.9763884709553021,0.56623,0.55133,0.99118,0.70271,0.55038
model_295,0.84796,0.51803,0.06726,0.53665,1.00000,0.04924,0.9095320732392745,0.54652,0.53665,1.00000,0.69452,0.52462
model_62,0.84770,0.54022,0.10912,0.54691,0.99042,0.10085,0.9145062625917174,0.56552,0.54703,0.99042,0.70088,0.54564
model_296,0.84685,0.53413,0.09213,0.54266,0.99315,0.08629,0.9013422637270656,0.55877,0.54264,0.99315,0.69764,0.53972
model_417,0.84656,0.55503,0.13588,0.55503,0.98201,0.13763,0.9813866958008878,0.57795,0.55542,0.98201,0.70547,0.55982
model_127,0.84594,0.52940,0.06882,0.53926,0.99586,0.07397,0.9682953796204097,0.55096,0.53945,0.99586,0.69494,0.53492
model_410,0.84555,0.56974,0.14430,0.56367,0.97625,0.17163,0.95922354723525,0.58718,0.56416,0.97625,0.70955,0.57394
model_68,0.84468,0.52975,0.07231,0.54019,0.99299,0.07765,0.961516414646096,0.55167,0.54041,0.99299,0.69496,0.53532
model_327,0.84441,0.76698,0.51132,0.71014,0.89821,0.63773,0.9892367232948961,0.76278,0.72217,0.89821,0.78286,0.76797
model_319,0.84437,0.52495,0.07348,0.53872,0.99247,0.06985,0.8892631963308826,0.55043,0.53879,0.99247,0.69424,0.53116
model_276,0.84378,0.75674,0.49796,0.70355,0.91068,0.60602,0.9912612965674715,0.75692,0.68779,0.91068,0.76696,0.75835
model_252,0.84377,0.51741,0.05511,0.53320,0.99591,0.05101,0.9359855249429139,0.54226,0.53326,0.99591,0.69057,0.52346
model_91,0.84282,0.69940,0.37980,0.65201,0.92934,0.47361,0.987757698414425,0.70011,0.65582,0.92934,0.74802,0.70148
model_40,0.84176,0.61372,0.23115,0.59454,0.94780,0.28598,0.9480034043611368,0.62873,0.59717,0.94780,0.72653,0.61689
model_303,0.84122,0.70114,0.38566,0.65143,0.91340,0.49160,0.9441840733861708,0.70508,0.66660,0.91340,0.76039,0.70250
model_318,0.84063,0.49481,0.01661,0.52147,1.00000,0.00284,0.993174473369538,0.52255,0.52147,1.00000,0.68199,0.50142
model_228,0.84024,0.49380,0.01287,0.52105,1.00000,0.00107,0.96744355606888,0.52131,0.52105,1.00000,0.68151,0.50053
model_248,0.84009,0.49327,0.01178,0.52077,1.00000,0.00000,0.9744974604554333,0.52077,0.52077,1.00000,0.68127,0.50000
model_500,0.83998,0.49515,0.01515,0.52176,0.99903,0.00454,0.9661890411948246,0.52237,0.52183,0.99903,0.68185,0.50178
model_313,0.83987,0.49312,0.01148,0.52070,0.99970,0.00000,0.9681574389256985,0.52060,0.52070,0.99970,0.68112,0.49985
model_502,0.83980,0.49360,0.01215,0.52095,0.99942,0.00122,0.9230680960563791,0.52095,0.52094,0.99942,0.68124,0.50032
model_223,0.83958,0.49291,0.01105,0.52060,0.99928,0.00000,0.9788512609977191,0.52042,0.52059,0.99928,0.68094,0.49964
model_242,0.83952,0.49331,0.01146,0.52079,0.99910,0.00091,0.9285711977310778,0.52060,0.52077,0.99910,0.68101,0.50001
model_109,0.83951,0.49301,0.01133,0.52066,0.99915,0.00032,0.9527871643533828,0.52042,0.52065,0.99915,0.68093,0.49973
model_492,0.83931,0.51856,0.05106,0.53371,0.98915,0.05958,0.9312544449647738,0.54119,0.53377,0.98915,0.68862,0.52436
model_141,0.83926,0.49381,0.01181,0.52099,0.99858,0.00230,0.9389865595720749,0.52077,0.52099,0.99858,0.68100,0.50044
model_423,0.83883,0.50114,0.02324,0.52450,0.99508,0.01947,0.9533106695144028,0.52646,0.52446,0.99508,0.68291,0.50727
model_220,0.83868,0.49685,0.01625,0.52259,0.99650,0.01026,0.9641392037957391,0.52308,0.52249,0.99650,0.68165,0.50338
model_398,0.83791,0.49252,0.00946,0.52041,0.99687,0.00142,0.9646022160961207,0.51935,0.52037,0.99687,0.68002,0.49915
model_234,0.83712,0.49314,0.00967,0.52064,0.99565,0.00375,0.9175396811278503,0.51953,0.52063,0.99565,0.67973,0.49970
model_41,0.83712,0.49200,0.00865,0.52017,0.99568,0.00166,0.9229828969996995,0.51900,0.52011,0.99568,0.67954,0.49867
model_218,0.83709,0.70485,0.39321,0.65847,0.90820,0.50453,0.9514959084827105,0.70898,0.67395,0.90820,0.75783,0.70636
model_124,0.83705,0.71871,0.41301,0.66933,0.89932,0.54037,0.9458959066340036,0.71786,0.68840,0.89932,0.76732,0.71985
model_38,0.83667,0.49708,0.01584,0.52260,0.99346,0.01359,0.9568621681972607,0.52273,0.52256,0.99346,0.68067,0.50352
model_51,0.83661,0.49198,0.00849,0.52013,0.99484,0.00244,0.9165562613837687,0.51900,0.52005,0.99484,0.67929,0.49864
model_372,0.83648,0.80465,0.60742,0.75368,0.85268,0.75687,0.9944361591076064,0.80344,0.79145,0.85268,0.81630,0.80478
model_322,0.83631,0.52631,0.06716,0.53852,0.98100,0.08250,0.9561093062797894,0.54776,0.53821,0.98100,0.68983,0.53175
model_291,0.83628,0.49079,0.00656,0.51961,0.99489,0.00000,0.9803744888576864,0.51758,0.51951,0.99489,0.67877,0.49744
model_414,0.83623,0.49621,0.01446,0.52216,0.99290,0.01227,0.9437176140182842,0.52202,0.52204,0.99290,0.68023,0.50259
model_227,0.83616,0.49186,0.00841,0.52017,0.99434,0.00269,0.9359866023890381,0.51864,0.51993,0.99434,0.67897,0.49851
model_43,0.83534,0.49152,0.00665,0.51986,0.99326,0.00284,0.8905161109766424,0.51776,0.51977,0.99326,0.67847,0.49805
model_259,0.83456,0.72742,0.43534,0.68185,0.89733,0.56071,0.9913991977185905,0.72514,0.70222,0.89733,0.76624,0.72902
model_354,0.83406,0.75525,0.47956,0.70602,0.88613,0.62661,0.99209527979361,0.74716,0.73117,0.88613,0.77941,0.75637
model_42,0.83354,0.49279,0.00789,0.52058,0.99002,0.00854,0.8952950092501499,0.51864,0.52033,0.99002,0.67795,0.49928
model_57,0.83172,0.70451,0.36640,0.66057,0.91045,0.50263,0.9019186720485035,0.70011,0.67995,0.91045,0.75152,0.70654
model_430,0.83137,0.51033,0.03284,0.52917,0.98014,0.05144,0.9561188228010857,0.53161,0.52922,0.98014,0.68213,0.51579
