model,miter,mbs,mlr,ulr,dh,afn,nu,ifp,weights,sampling_strategy,encoding
model_144,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",0.75,woe
model_324,1000,16,0.1,0.1,128,relu,4,0,"10, 1",0.75,woe
model_48,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",not minority,woe
model_323,1000,16,0.1,0.1,128,relu,4,0,"10, 1",0.75,james
model_247,1000,16,0.1,0.1,128,relu,4,0,"1, 10",0.75,catboost
model_119,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",not minority,james
model_302,1000,16,0.1,0.1,128,relu,4,0,"10, 1",all,glmm
model_120,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",not minority,woe
model_293,1000,16,0.1,0.1,128,relu,4,0,"10, 1",minority,james
model_46,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",not minority,mestimator
model_231,1000,16,0.1,0.1,128,relu,4,0,"1, 10",all,target
model_70,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",0.75,mestimator
model_399,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 10",minority,target
model_243,1000,16,0.1,0.1,128,relu,4,0,"1, 10",1,target
model_122,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",all,glmm
model_285,1000,16,0.1,0.1,128,relu,4,0,"1, 100",0.75,target
model_239,1000,16,0.1,0.1,128,relu,4,0,"1, 10",0.5,james
model_116,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",not minority,glmm
model_225,1000,16,0.1,0.1,128,relu,4,0,"1, 10",not minority,target
model_233,1000,16,0.1,0.1,128,relu,4,0,"1, 10",all,james
model_299,1000,16,0.1,0.1,128,relu,4,0,"10, 1",not minority,james
model_249,1000,16,0.1,0.1,128,relu,4,0,"1, 10",0.75,target
model_224,1000,16,0.1,0.1,128,relu,4,0,"1, 10",not minority,glmm
model_118,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",not minority,mestimator
model_295,1000,16,0.1,0.1,128,relu,4,0,"10, 1",not minority,catboost
model_62,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",1,glmm
model_296,1000,16,0.1,0.1,128,relu,4,0,"10, 1",not minority,glmm
model_127,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",0.5,catboost
model_68,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",0.75,glmm
model_327,1000,16,0.1,0.1,128,relu,4,0,"100, 1",minority,target
model_319,1000,16,0.1,0.1,128,relu,4,0,"10, 1",0.75,catboost
model_276,1000,16,0.1,0.1,128,relu,4,0,"1, 100",0.5,woe
model_252,1000,16,0.1,0.1,128,relu,4,0,"1, 10",0.75,woe
model_91,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",0.5,catboost
model_40,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",minority,mestimator
