,0
CARERAGE_2,293
CARERSEX_2,293
CARERREL_2,293
CJOBCAT_2,748
HELPHOUR_2,986
IRDISCR_2,37
LEARN1_2,24
LEARN2_2,24
LEARN3_2,24
NAME_2,24
PENCIL_2,24
WATCH_2,24
CHAIR_2,24
SHOES_2,24
ELBOW_2,24
SHOULD_2,24
HAMMER_2,24
PRAY_2,24
CHEMIST_2,24
REPEAT_2,24
RECALL_2,24
NRECALL_2,24
ANIMALS_2,24
WORDIMM_2,24
TRIALNO_2,26
TOWN_2,24
CHIEF_2,24
STREET_2,24
STORE_2,24
ADDRESS_2,24
WORDDEL_2,24
LONGMEM_2,24
MONTH_2,24
DAY_2,526
YEAR_2,24
SEASON_2,24
NOD_2,24
POINT_2,24
PAPER_2,25
CIRCLE_2,25
PENTAG_2,25
STORY_2,25
Q11_2,34
Q21_2,34
Q31_2,34
Q32_2,36
Q41_2,34
Q42_2,37
Q51_2,851
Q52_2,851
Q53_2,852
Q54_2,852
Q71_2,36
Q72_2,36
Q73_2,36
Q74_2,35
Q75_2,37
Q76_2,35
IRHOME_2,34
Q81_2,321
Q82_2,321
Q83_2,321
Q91_2,746
Q92_2,746
Q93_2,746
Q101_2,35
Q102_2,35
Q111_2,34
Q161_2,545
Q162_2,545
Q163_2,551
Q164_2,549
Q141_2,548
Q142_2,550
Q151_2,549
Q171_2,39
Q181_2,196
Q191_2,34
Q201_2,45
Q211_2,34
Q221_2,34
Q231_2,302
Q241_2,676
Q242_2,675
Q243_2,676
Q251_2,673
Q261_2,673
Q262_2,673
Q263_2,673
Q271_2,673
Q272_2,674
Q281_2,35
Q291_2,34
Q292_2,34
Q293_2,34
Q294_2,34
Q301_2,35
Q311_2,986
Q312_2,997
Q313_2,997
Q321_2,999
Q322_2,999
Q331_2,37
Q332_2,895
Q333_2,897
Q334_2,897
Q335_2,897
Q341_2,34
Q351_2,34
Q352_2,34
Q361_2,34
Q362_2,738
Q363_2,739
Q364_2,738
Q365_2,738
Q371_2,35
Q381_2,35
Q391_2,34
Q401_2,34
Q451_2,34
Q452_2,34
Q471_2,990
Q481_2,34
Q491_2,35
Q501_2,34
Q502_2,34
Q511_2,34
Q512_2,36
Q521_2,915
Q522_2,915
Q523_2,913
Q531_2,36
Q532_2,36
Q533_2,35
Q541_2,35
Q542_2,838
Q543_2,838
Q544_2,840
Q545_2,839
Q551_2,839
Q561_2,839
Q571_2,869
Q581_2,869
Q582_2,869
Q611_2,34
Q612_2,34
Q613_2,34
Q621_2,34
Q631_2,34
Q641_2,34
Q642_2,35
Q643_2,34
Q644_2,34
Q651_2,34
Q652_2,34
Q711_2,34
Q721_2,34
Q722_2,35
Q731_2,34
Q741_2,631
Q751_2,630
Q752_2,631
Q753_2,630
Q761_2,630
Q771_2,630
Q781_2,135
Q871_2,133
Q881_2,809
Q882_2,809
Q891_2,809
Q901_2,34
Q911_2,35
Q921_2,1001
Q922_2,1001
Q923_2,1001
Q931_2,34
Q941_2,78
Q951_2,984
Q952_2,984
Q961_2,984
Q971_2,986
Q981_2,986
Q982_2,986
