feature,importance
LASTDAY_2,0.04858
RECALL_2,0.04726
LEARN1_2,0.03518
Q75_2,0.02718
LEARN2_2,0.02575
YEAR_2,0.02559
MEMORY_2,0.02520
Q76_2,0.02406
Q72_2,0.02392
LEARN3_2,0.02179
Q401_2,0.02108
CONVERS_2,0.02081
PUT_2,0.01890
REASON_2,0.01830
LASTSEE_2,0.01796
MONEY_2,0.01753
Q1781_2,0.01728
ANIMALS_2,0.01690
SEASON_2,0.01682
MUDDLED_2,0.01622
PAST_2,0.01461
FRDNAME_2,0.01196
Q74_2,0.01174
STORY_2,0.01083
WORDDEL_2,0.01046
Q391_2,0.01010
MONTH_2,0.00984
Q1551_2,0.00951
Q31_2,0.00863
Q331_2,0.00853
Q1561_2,0.00819
ICINTCOM_2,0.00809
WORDFIND_2,0.00791
STREET_2,0.00735
Q71_2,0.00722
TRIALNO_2,0.00675
HASCONF_2,0.00668
Q781_2,0.00637
MENTAL_2,0.00635
FAMNAME_2,0.00621
STORE_2,0.00610
NPI4,0.00608
CARENEED_2,0.00608
NRECALL_2,0.00578
KEPT_2,0.00569
Q381_2,0.00563
Q871_2,0.00525
Q21_2,0.00510
NPI3,0.00490
Q1141_2,0.00473
Q731_2,0.00455
WORDIMM_2,0.00451
Q73_2,0.00443
Q721_2,0.00434
CIRCLE_2,0.00430
Q722_2,0.00425
NPI10,0.00419
Q481_2,0.00406
ORIENT_2,0.00403
Q711_2,0.00398
Q1181_2,0.00387
LONGMEM_2,0.00381
Q371_2,0.00380
CHIEF_2,0.00380
LOSTOUT_2,0.00376
IRERROR_2,0.00367
NPI7,0.00362
NPI12,0.00346
Q32_2,0.00339
ACTIV_2,0.00333
NPI1,0.00329
PAPER_2,0.00328
Q81_2,0.00328
NPI8,0.00324
NPI11,0.00321
Q541_2,0.00317
CHEMIST_2,0.00305
Q501_2,0.00304
NPI5,0.00302
Q1709_2,0.00301
CHORES_2,0.00298
Q211_2,0.00287
Q1707_2,0.00283
Q11_2,0.00283
Q1061_2,0.00278
Q641_2,0.00277
NPI9,0.00269
Q41_2,0.00269
Q511_2,0.00261
Q352_2,0.00260
PENTAG_2,0.00256
Q171_2,0.00253
Q101_2,0.00245
Q1041_2,0.00238
Q1191_2,0.00237
Q221_2,0.00234
Q341_2,0.00233
HOBBY_2,0.00233
CHANGE_2,0.00228
Q351_2,0.00224
Q631_2,0.00224
Q361_2,0.00223
Q1708_2,0.00222
IRHOME_2,0.00219
Q293_2,0.00216
Q1182_2,0.00216
Q83_2,0.00216
Q451_2,0.00212
Q82_2,0.00210
Q42_2,0.00207
NPI2,0.00199
Q621_2,0.00199
Q1631_2,0.00194
Q191_2,0.00192
Q512_2,0.00191
Q1742_2,0.00189
Q652_2,0.00187
Q901_2,0.00186
REPEAT_2,0.00185
Q1131_2,0.00183
Q1755_2,0.00179
Q532_2,0.00177
WORDWRG_2,0.00176
Q1381_2,0.00174
Q1171_2,0.00174
Q281_2,0.00170
Q1351_2,0.00168
Q1042_2,0.00163
TOWN_2,0.00161
Q1754_2,0.00160
Q1051_2,0.00154
Q651_2,0.00151
NPI6,0.00144
SHOULD_2,0.00144
TOILET_2,0.00141
Q294_2,0.00140
Q291_2,0.00138
Q1441_2,0.00134
Q611_2,0.00134
NAME_2,0.00134
Q292_2,0.00129
Q1052_2,0.00124
Q642_2,0.00117
FEED_2,0.00116
Q502_2,0.00115
Q1044_2,0.00113
Q613_2,0.00112
Q1771_2,0.00111
Q1801_2,0.00107
DRESS_2,0.00104
PENCIL_2,0.00103
Q1632_2,0.00101
Q491_2,0.00100
CHAIR_2,0.00095
Q931_2,0.00094
Q1031_2,0.00094
Q1704_2,0.00091
Q452_2,0.00086
WATCH_2,0.00085
Q1811_2,0.00084
Q201_2,0.00083
Q1822_2,0.00079
Q643_2,0.00077
Q1043_2,0.00074
LOSTIN_2,0.00072
Q1795_2,0.00069
Q111_2,0.00068
