feature,ranking
MONTH_2,1
Q1551_2,1
PUT_2,1
Q281_2,1
Q401_2,1
Q42_2,1
Q451_2,1
LEARN3_2,1
LEARN2_2,1
LEARN1_2,1
Q722_2,1
LASTDAY_2,1
Q72_2,1
Q76_2,1
FEED_2,1
Q1141_2,1
ANIMALS_2,1
RECALL_2,1
CHEMIST_2,1
TRIALNO_2,1
CIRCLE_2,2
Q1796_2,3
Q1041_2,4
LOSTIN_2,5
YEAR_2,6
Q1704_2,7
Q1561_2,8
Q1441_2,9
Q781_2,10
Q101_2,11
Q171_2,12
Q512_2,13
STORY_2,14
Q74_2,15
CARENEED_2,16
PAST_2,17
Q381_2,18
Q1753_2,19
Q901_2,20
Q1707_2,21
Q82_2,22
WORDDEL_2,23
WORDWRG_2,24
WORDFIND_2,25
Q1822_2,26
HASCONF_2,27
FAMNAME_2,28
Q871_2,29
NPI1,30
SEASON_2,31
Q1708_2,32
ADDRESS_2,33
NPI9,34
Q1635_2,35
PAPER_2,36
NOD_2,37
Q83_2,38
ICINTCOM_2,39
Q1821_2,40
NPI11,41
POINT_2,42
NPI6,43
Q1709_2,44
Q201_2,45
Q1744_2,46
Q1743_2,47
Q1745_2,48
NPI2,49
Q1381_2,50
Q1031_2,51
NPI12,52
Q1242_2,53
Q1742_2,54
Q75_2,55
NPI5,56
NPI3,57
Q1351_2,58
Q81_2,59
Q911_2,60
Q1191_2,61
Q301_2,62
NPI7,63
Q1061_2,64
NPI8,65
Q331_2,66
Q1171_2,67
STORE_2,68
Q533_2,69
Q1371_2,70
Q1368_2,71
Q1044_2,72
NRECALL_2,73
Q1361_2,74
Q491_2,75
IRERROR_2,76
Q32_2,77
Q1043_2,78
Q71_2,79
Q73_2,80
Q371_2,81
NPI10,82
Q531_2,83
Q642_2,84
Q541_2,85
Q1042_2,86
Q532_2,87
Q1181_2,88
Q1182_2,89
Q1271_2,90
Q1251_2,91
Q1365_2,92
Q31_2,93
Q391_2,94
Q1364_2,95
Q1201_2,96
Q652_2,97
Q1363_2,98
Q1391_2,99
Q502_2,100
NPI4,101
Q102_2,102
Q711_2,103
Q294_2,104
Q452_2,105
Q1131_2,106
Q1362_2,107
Q931_2,108
Q21_2,109
Q1231_2,110
Q221_2,111
Q293_2,112
Q643_2,113
Q641_2,114
Q1367_2,115
Q351_2,116
Q611_2,117
Q361_2,118
Q291_2,119
IRHOME_2,120
Q1221_2,121
Q1702_2,122
Q612_2,123
Q41_2,124
Q1241_2,125
Q651_2,126
Q481_2,127
Q341_2,128
Q292_2,129
Q621_2,130
Q1051_2,131
Q111_2,132
Q352_2,133
Q1801_2,134
Q1222_2,135
Q11_2,136
Q613_2,137
Q17922_2,138
Q1211_2,139
Q1792_2,140
Q721_2,141
Q17920_2,142
Q1802_2,143
Q1641_2,144
Q631_2,145
Q731_2,146
Q511_2,147
Q1804_2,148
Q1233_2,149
Q211_2,150
ACTIV_2,151
Q1807_2,152
Q1808_2,153
Q644_2,154
Q1805_2,155
Q18020_2,156
Q1232_2,157
Q18018_2,158
Q501_2,159
Q18015_2,160
Q191_2,161
Q1052_2,162
Q18017_2,163
Q18014_2,164
Q1751_2,165
Q18016_2,166
Q1803_2,167
Q1752_2,168
Q17911_2,169
Q1671_2,170
CONVERS_2,171
Q1781_2,172
Q1791_2,173
Q18019_2,174
Q17910_2,175
Q1661_2,176
Q17912_2,177
Q1806_2,178
Q1811_2,179
Q1795_2,180
Q1705_2,181
Q18012_2,182
Q1701_2,183
Q1809_2,184
HAMMER_2,185
Q1755_2,186
Q1703_2,187
Q18013_2,188
Q1741_2,189
Q1798_2,190
PENTAG_2,191
Q1633_2,192
Q1634_2,193
ELBOW_2,194
Q1651_2,195
LONGMEM_2,196
Q1642_2,197
Chin_2,198
WATCH_2,199
REPEAT_2,200
KEPT_2,201
SHOULD_2,202
DRESS_2,203
TOILET_2,204
Q1754_2,205
STREET_2,206
Q1631_2,207
SHOES_2,208
Q1706_2,209
Q1632_2,210
CHANGE_2,211
Q18010_2,212
Q18011_2,213
CHIEF_2,214
PENCIL_2,215
TOWN_2,216
Q1771_2,217
LOSTOUT_2,218
CHAIR_2,219
Q1652_2,220
WORDIMM_2,221
ORIENT_2,222
MENTAL_2,223
PRAY_2,224
NAME_2,225
LASTSEE_2,226
REASON_2,227
MUDDLED_2,228
MEMORY_2,229
MONEY_2,230
HOBBY_2,231
FRDNAME_2,232
CHORES_2,233
