feature,importance
LASTDAY_2,0.25672
TOILET_2,0.03742
Q401_2,0.03587
Q76_2,0.02578
RECALL_2,0.02182
Q72_2,0.02137
MEMORY_2,0.01992
PUT_2,0.01840
ANIMALS_2,0.01827
Q75_2,0.01661
KEPT_2,0.01643
Q1754_2,0.01573
MONTH_2,0.01559
Q722_2,0.01509
MUDDLED_2,0.01319
Q1061_2,0.01263
Q191_2,0.01252
Q1808_2,0.01147
YEAR_2,0.01146
Q32_2,0.01118
Q41_2,0.01059
Q71_2,0.00973
ICINTCOM_2,0.00944
SEASON_2,0.00925
Q31_2,0.00922
Q451_2,0.00846
Q651_2,0.00834
Q1141_2,0.00776
CHANGE_2,0.00768
Q1709_2,0.00741
Q511_2,0.00725
Q1131_2,0.00693
CHORES_2,0.00680
NPI4,0.00636
NRECALL_2,0.00632
Q381_2,0.00609
WORDFIND_2,0.00607
LEARN1_2,0.00598
Q74_2,0.00596
Q721_2,0.00593
Q221_2,0.00592
CARENEED_2,0.00574
Q1811_2,0.00573
CONVERS_2,0.00553
Q1031_2,0.00547
Q531_2,0.00542
LEARN2_2,0.00538
Q1181_2,0.00537
LEARN3_2,0.00533
Q351_2,0.00516
Q1795_2,0.00479
Q1707_2,0.00477
Q391_2,0.00436
Q1561_2,0.00434
Q11_2,0.00432
PENTAG_2,0.00418
WORDDEL_2,0.00416
IRERROR_2,0.00414
Q781_2,0.00412
Q611_2,0.00410
Q83_2,0.00397
Q901_2,0.00396
PAST_2,0.00382
Q21_2,0.00379
Q1041_2,0.00377
Q1182_2,0.00362
HASCONF_2,0.00358
Q17910_2,0.00340
CIRCLE_2,0.00334
Q644_2,0.00332
NAME_2,0.00330
Q352_2,0.00326
ACTIV_2,0.00326
MONEY_2,0.00322
Q1381_2,0.00309
Q1051_2,0.00300
Q1802_2,0.00299
Q1631_2,0.00292
Q171_2,0.00287
Q331_2,0.00284
Q641_2,0.00283
CHIEF_2,0.00281
Q291_2,0.00278
Q1441_2,0.00274
REPEAT_2,0.00273
Q871_2,0.00265
Q711_2,0.00261
Q541_2,0.00248
WORDIMM_2,0.00247
MENTAL_2,0.00246
STREET_2,0.00245
PAPER_2,0.00244
Q361_2,0.00243
Q1551_2,0.00243
LONGMEM_2,0.00225
Q481_2,0.00222
Q1171_2,0.00214
Q371_2,0.00213
HOBBY_2,0.00213
Q501_2,0.00202
TRIALNO_2,0.00192
Q81_2,0.00191
Q211_2,0.00190
IRHOME_2,0.00188
STORY_2,0.00170
FRDNAME_2,0.00169
Q631_2,0.00163
Q731_2,0.00139
Q1781_2,0.00117
Q1043_2,0.00115
LASTSEE_2,0.00111
Q1044_2,0.00108
Q491_2,0.00105
NPI12,0.00104
Q18020_2,0.00092
Q621_2,0.00079
Q532_2,0.00075
Q652_2,0.00054
Q294_2,0.00045
Q1351_2,0.00044
NPI9,0.00043
Q82_2,0.00042
Q612_2,0.00041
REASON_2,0.00031
Q1821_2,0.00000
Q1822_2,0.00000
Q1708_2,0.00000
Q201_2,0.00000
Q1742_2,0.00000
Q1744_2,0.00000
Q1745_2,0.00000
Q1743_2,0.00000
Q1242_2,0.00000
Q1191_2,0.00000
Q512_2,0.00000
Q1042_2,0.00000
Q911_2,0.00000
Q1391_2,0.00000
Q1251_2,0.00000
Q642_2,0.00000
Q1271_2,0.00000
Q1201_2,0.00000
Q502_2,0.00000
Q1231_2,0.00000
Q643_2,0.00000
Q1221_2,0.00000
Q1241_2,0.00000
Q1222_2,0.00000
Q613_2,0.00000
Q1211_2,0.00000
Q1233_2,0.00000
Q1232_2,0.00000
Q1052_2,0.00000
Q1751_2,0.00000
Q1752_2,0.00000
Q1671_2,0.00000
Q1661_2,0.00000
Q1705_2,0.00000
Q1704_2,0.00000
Q1755_2,0.00000
Q1641_2,0.00000
Q1703_2,0.00000
Q1741_2,0.00000
Q1771_2,0.00000
