model_name,f2,encoding_strategy
One Class SVM,0.67442,
IsolationForest,0.31469,
IsolationForest,0.31469,
One Class SVM,0.30922,
IsolationForest,0.29825,
IsolationForest,0.29825,
One Class SVM,0.29825,
One Class SVM,0.29825,
One Class SVM,0.29825,
One Class SVM,0.29274,
IsolationForest,0.29274,
EllipticEnvelope,0.28722,
IsolationForest,0.28169,
EllipticEnvelope,0.27059,
EllipticEnvelope,0.27059,
EllipticEnvelope,0.24823,
EllipticEnvelope,0.20858,
LocalOutlierFactor,0.19139,
LocalOutlierFactor,0.19139,
LocalOutlierFactor,0.19139,
LocalOutlierFactor,0.18563,
EllipticEnvelope,0.16245,
LocalOutlierFactor,0.12727,
LocalOutlierFactor,0.12136,
