FP,Balanced Bagging Classifier,Weighted Decision Tree Classifier,Weighted XGBoost,Weighted Logistic Regression
{'0.0<PUT_2<1.0'},0.15168539325842698,0.11235955056179775,0.11235955056179775,0.7752808988764045
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0'}",0.12658227848101267,0.10759493670886076,0.0949367088607595,0.7974683544303798
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0'}",0.1267605633802817,0.09859154929577464,0.08450704225352113,0.795774647887324
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '1.0<SEASON_2<2.0', '0.0<Q401_2<1.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'1.0<YEAR_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '1.0<SEASON_2<2.0', '0.0<Q75_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<Q1781_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '1.0<YEAR_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '1.0<YEAR_2<2.0', '1.0<SEASON_2<2.0'}",0.12142857142857143,0.09285714285714286,0.07857142857142857,0.8
