FP,Balanced Bagging Classifier,Weighted XGBoost,Weighted Decision Tree Classifier,Weighted Logistic Regression
{'0.0<PUT_2<1.0'},0.1853932584269663,0.10674157303370786,0.19662921348314608,0.7528089887640449
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0'}",0.16455696202531644,0.08860759493670886,0.17088607594936708,0.759493670886076
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0'}",0.1619718309859155,0.08450704225352113,0.16901408450704225,0.7676056338028169
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '1.0<SEASON_2<2.0', '0.0<Q401_2<1.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'1.0<YEAR_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '1.0<SEASON_2<2.0', '0.0<Q75_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<Q1781_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '1.0<YEAR_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
