FP,model_498,model_444,model_540,model_48,model_46,model_36,model_30,model_496,model_494,model_452,model_890,model_900,model_896
{'0.0<PUT_2<1.0'},0.401529637,0.401529637,0.401529637,0.195028681,0.195028681,0.195028681,0.195028681,0.401529637,0.401529637,0.401529637,0.504780115,0.504780115,0.504780115
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0'}",0.402298851,0.402298851,0.402298851,0.195402299,0.195402299,0.195402299,0.195402299,0.402298851,0.402298851,0.402298851,0.498850575,0.498850575,0.498850575
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<MEMORY_2<1.0'}",0.404522613,0.404522613,0.404522613,0.195979899,0.195979899,0.195979899,0.195979899,0.404522613,0.404522613,0.404522613,0.497487437,0.497487437,0.497487437
"{'0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<MEMORY_2<1.0'}",0.404522613,0.404522613,0.404522613,0.195979899,0.195979899,0.195979899,0.195979899,0.404522613,0.404522613,0.404522613,0.497487437,0.497487437,0.497487437
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<MEMORY_2<1.0', '0.0<Q75_2<2.0'}",0.405063291,0.405063291,0.405063291,0.197468354,0.197468354,0.197468354,0.197468354,0.405063291,0.405063291,0.405063291,0.496202532,0.496202532,0.496202532
"{'1.0<YEAR_2<2.0', '0.0<Q75_2<2.0', '0.0<Q1781_2<2.0', '0.0<PUT_2<1.0', '0.0<MEMORY_2<1.0'}",0.405063291,0.405063291,0.405063291,0.197468354,0.197468354,0.197468354,0.197468354,0.405063291,0.405063291,0.405063291,0.496202532,0.496202532,0.496202532
"{'0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<MEMORY_2<1.0'}",0.404522613,0.404522613,0.404522613,0.195979899,0.195979899,0.195979899,0.195979899,0.404522613,0.404522613,0.404522613,0.497487437,0.497487437,0.497487437
"{'1.0<YEAR_2<2.0', '0.0<Q75_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<PUT_2<1.0', '0.0<MEMORY_2<1.0'}",0.405063291,0.405063291,0.405063291,0.197468354,0.197468354,0.197468354,0.197468354,0.405063291,0.405063291,0.405063291,0.496202532,0.496202532,0.496202532
"{'1.0<YEAR_2<2.0', '0.0<Q1781_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<PUT_2<1.0', '0.0<MEMORY_2<1.0'}",0.404522613,0.404522613,0.404522613,0.195979899,0.195979899,0.195979899,0.195979899,0.404522613,0.404522613,0.404522613,0.497487437,0.497487437,0.497487437
"{'0.0<Q1781_2<2.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<MEMORY_2<1.0'}",0.405063291,0.405063291,0.405063291,0.197468354,0.197468354,0.197468354,0.197468354,0.405063291,0.405063291,0.405063291,0.496202532,0.496202532,0.496202532
"{'0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<PUT_2<1.0'}",0.402298851,0.402298851,0.402298851,0.195402299,0.195402299,0.195402299,0.195402299,0.402298851,0.402298851,0.402298851,0.498850575,0.498850575,0.498850575
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q75_2<2.0'}",0.402777778,0.402777778,0.402777778,0.196759259,0.196759259,0.196759259,0.196759259,0.402777778,0.402777778,0.402777778,0.497685185,0.497685185,0.497685185
