FP,Weighted Logistic Regression,Balanced Bagging Classifier,Weighted Decision Tree Classifier,Weighted XGBoost
{'0.0<PUT_2<1.0'},0.8033707865168539,0.7640449438202247,0.8651685393258427,0.8651685393258427
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0'}",0.8193548387096774,0.7935483870967742,0.896774193548387,0.896774193548387
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.8231292517006803,0.8027210884353742,0.8979591836734694,0.8979591836734694
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8231292517006803,0.8027210884353742,0.8979591836734694,0.8979591836734694
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.821917808219178,0.8013698630136986,0.8972602739726028,0.8972602739726028
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0'}",0.821917808219178,0.8013698630136986,0.8972602739726028,0.8972602739726028
"{'0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.8231292517006803,0.8027210884353742,0.8979591836734694,0.8979591836734694
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0'}",0.821917808219178,0.8013698630136986,0.8972602739726028,0.8972602739726028
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0', '0.0<PUT_2<1.0'}",0.8231292517006803,0.8027210884353742,0.8979591836734694,0.8979591836734694
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<PUT_2<1.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.821917808219178,0.8013698630136986,0.8972602739726028,0.8972602739726028
"{'0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<PUT_2<1.0'}",0.8193548387096774,0.7935483870967742,0.896774193548387,0.896774193548387
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<PUT_2<1.0'}",0.8181818181818182,0.7922077922077922,0.8961038961038961,0.8961038961038961
"{'0.0<LASTDAY_2<2.0', '0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<PUT_2<1.0'}",0.8181818181818182,0.7922077922077922,0.8961038961038961,0.8961038961038961
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8193548387096774,0.7935483870967742,0.896774193548387,0.896774193548387
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8181818181818182,0.7922077922077922,0.8961038961038961,0.8961038961038961
"{'0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8193548387096774,0.7935483870967742,0.896774193548387,0.896774193548387
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0'}",0.8181818181818182,0.7922077922077922,0.8961038961038961,0.8961038961038961
"{'0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.8048780487804879,0.7682926829268293,0.8719512195121951,0.8719512195121951
"{'0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.8048780487804879,0.7682926829268293,0.8719512195121951,0.8719512195121951
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.8125,0.775,0.875,0.875
"{'0.0<LASTDAY_2<2.0', '0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.8125,0.775,0.875,0.875
"{'0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8048780487804879,0.7682926829268293,0.8719512195121951,0.8719512195121951
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8125,0.775,0.875,0.875
"{'0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8048780487804879,0.7682926829268293,0.8719512195121951,0.8719512195121951
"{'0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0'}",0.8125,0.775,0.875,0.875
"{'0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8022598870056498,0.768361581920904,0.8700564971751412,0.8700564971751412
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0'}",0.8114285714285714,0.7657142857142857,0.8628571428571429,0.8628571428571429
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8103448275862069,0.7701149425287356,0.867816091954023,0.867816091954023
"{'0.0<LASTDAY_2<2.0', '0.0<PUT_2<1.0'}",0.8033707865168539,0.7640449438202247,0.8651685393258427,0.8651685393258427
"{'0.0<LASTDAY_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0'}",0.8114285714285714,0.7657142857142857,0.8628571428571429,0.8628571428571429
"{'0.0<LASTDAY_2<2.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8022598870056498,0.768361581920904,0.8700564971751412,0.8700564971751412
"{'0.0<LASTDAY_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8103448275862069,0.7701149425287356,0.867816091954023,0.867816091954023
{'0.0<MEMORY_2<1.0'},0.8121546961325967,0.7734806629834254,0.861878453038674,0.861878453038674
