FP,Balanced Bagging Classifier,Weighted Decision Tree Classifier,Weighted XGBoost,Weighted Logistic Regression
{'0.0<PUT_2<1.0'},0.16853932584269662,0.8033707865168539,0.8651685393258427,0.8033707865168539
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0'}",0.12903225806451613,0.8193548387096774,0.896774193548387,0.8193548387096774
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.10884353741496598,0.8231292517006803,0.8979591836734694,0.8231292517006803
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.10884353741496598,0.8231292517006803,0.8979591836734694,0.8231292517006803
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.1095890410958904,0.821917808219178,0.8972602739726028,0.821917808219178
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0'}",0.1095890410958904,0.821917808219178,0.8972602739726028,0.821917808219178
"{'0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.10884353741496598,0.8231292517006803,0.8979591836734694,0.8231292517006803
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0'}",0.1095890410958904,0.821917808219178,0.8972602739726028,0.821917808219178
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0', '0.0<PUT_2<1.0'}",0.10884353741496598,0.8231292517006803,0.8979591836734694,0.8231292517006803
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<PUT_2<1.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.1095890410958904,0.821917808219178,0.8972602739726028,0.821917808219178
