FP,Weighted Logistic Regression,Balanced Bagging Classifier,Weighted Decision Tree Classifier,Weighted XGBoost
{'0.0<PUT_2<1.0'},0.8033707865168539,0.2696629213483146,0.20224719101123595,0.2696629213483146
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0'}",0.8193548387096774,0.23225806451612904,0.1870967741935484,0.23225806451612904
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.8231292517006803,0.20408163265306123,0.17687074829931973,0.20408163265306123
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8231292517006803,0.20408163265306123,0.17687074829931973,0.20408163265306123
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.821917808219178,0.2054794520547945,0.1780821917808219,0.2054794520547945
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0'}",0.821917808219178,0.2054794520547945,0.1780821917808219,0.2054794520547945
"{'0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.8231292517006803,0.20408163265306123,0.17687074829931973,0.20408163265306123
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0'}",0.821917808219178,0.2054794520547945,0.1780821917808219,0.2054794520547945
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0', '0.0<PUT_2<1.0'}",0.8231292517006803,0.20408163265306123,0.17687074829931973,0.20408163265306123
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<PUT_2<1.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.821917808219178,0.2054794520547945,0.1780821917808219,0.2054794520547945
"{'0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<PUT_2<1.0'}",0.8193548387096774,0.23225806451612904,0.1870967741935484,0.23225806451612904
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<PUT_2<1.0'}",0.8181818181818182,0.23376623376623376,0.18831168831168832,0.23376623376623376
"{'0.0<LASTDAY_2<2.0', '0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<PUT_2<1.0'}",0.8181818181818182,0.23376623376623376,0.18831168831168832,0.23376623376623376
"{'1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8193548387096774,0.23225806451612904,0.1870967741935484,0.23225806451612904
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8181818181818182,0.23376623376623376,0.18831168831168832,0.23376623376623376
"{'0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8193548387096774,0.23225806451612904,0.1870967741935484,0.23225806451612904
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0'}",0.8181818181818182,0.23376623376623376,0.18831168831168832,0.23376623376623376
"{'0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.8048780487804879,0.23170731707317074,0.1951219512195122,0.23170731707317074
"{'0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.8048780487804879,0.23170731707317074,0.1951219512195122,0.23170731707317074
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.8125,0.225,0.1875,0.225
"{'0.0<LASTDAY_2<2.0', '0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0'}",0.8125,0.225,0.1875,0.225
"{'0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8048780487804879,0.23170731707317074,0.1951219512195122,0.23170731707317074
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8125,0.225,0.1875,0.225
"{'0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<PUT_2<1.0', '0.0<Q1781_2<2.0'}",0.8048780487804879,0.23170731707317074,0.1951219512195122,0.23170731707317074
"{'0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0'}",0.8125,0.225,0.1875,0.225
