model,miter,mbs,mlr,ulr,dh,afn,nu,encoding,num_vertex,num_filters,emb_loss_weight,weights,sampling_strategy
model_498,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,16,0.1,"1, 10",minority
model_444,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,32,0.1,"1, 10",minority
model_540,1000,16,0.1,0.1,"128, 64",relu,4,target,8,32,0.1,"1, 10",not minority
model_438,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,16,0.1,"1, 10",minority
model_550,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,16,0.1,"1, 10",not minority
model_544,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,32,0.1,"1, 10",not minority
model_442,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,16,0.1,"1, 10",minority
model_482,1000,16,0.1,0.1,"128, 64",relu,4,james,4,16,0.1,"1, 10",minority
model_552,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,32,0.1,"1, 10",not minority
model_436,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,32,0.1,"1, 10",minority
model_452,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,32,0.1,"1, 10",minority
model_536,1000,16,0.1,0.1,"128, 64",relu,4,target,6,32,0.1,"1, 10",not minority
model_488,1000,16,0.1,0.1,"128, 64",relu,4,james,6,32,0.1,"1, 10",minority
model_494,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,16,0.1,"1, 10",minority
model_440,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,32,0.1,"1, 10",minority
model_490,1000,16,0.1,0.1,"128, 64",relu,4,james,8,16,0.1,"1, 10",minority
model_546,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,16,0.1,"1, 10",not minority
model_446,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,16,0.1,"1, 10",minority
model_542,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,16,0.1,"1, 10",not minority
model_492,1000,16,0.1,0.1,"128, 64",relu,4,james,8,32,0.1,"1, 10",minority
model_530,1000,16,0.1,0.1,"128, 64",relu,4,target,4,16,0.1,"1, 10",not minority
model_450,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,16,0.1,"1, 10",minority
model_500,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,32,0.1,"1, 10",minority
model_448,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,32,0.1,"1, 10",minority
model_532,1000,16,0.1,0.1,"128, 64",relu,4,target,4,32,0.1,"1, 10",not minority
