model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_48,0.8476299999999999,0.84299,0.68186,0.7941600000000001,0.8521,0.83394,0.9749008297051016,0.84372,0.84521,0.8521,0.84375,0.8430200000000001
model_765,0.8454200000000001,0.83011,0.64825,0.7702100000000001,0.85565,0.80462,0.9921653336820994,0.83021,0.81484,0.85565,0.83214,0.8301299999999999
model_78,0.81697,0.81914,0.62563,0.76258,0.819,0.8193299999999999,0.9931985663389228,0.81794,0.81798,0.819,0.8156,0.81916
model_845,0.81438,0.81089,0.6019,0.74926,0.82101,0.80089,0.9942608303851852,0.80857,0.80245,0.82101,0.80708,0.81095
model_848,0.81083,0.8075899999999999,0.60114,0.74927,0.81879,0.7965800000000001,0.9931368621405201,0.8054399999999999,0.80324,0.81879,0.803,0.8076800000000001
model_37,0.80779,0.80442,0.59605,0.74793,0.8115899999999999,0.79728,0.9921298923862618,0.80391,0.80171,0.8115899999999999,0.80383,0.80443
model_75,0.81793,0.80411,0.59083,0.73957,0.8276399999999999,0.78062,0.9933658729246271,0.80393,0.7891199999999999,0.8276399999999999,0.80538,0.80413
model_124,0.804,0.8037,0.5877399999999999,0.74254,0.80867,0.79882,0.9919624721909944,0.8022100000000001,0.80125,0.80867,0.79993,0.80375
model_59,0.81406,0.79397,0.57082,0.72918,0.82873,0.7592899999999999,0.9927933158029356,0.7906,0.77131,0.82873,0.7953100000000001,0.79401
model_816,0.79406,0.78456,0.5505899999999999,0.72002,0.80285,0.7663399999999999,0.995272860150118,0.7832600000000001,0.77253,0.80285,0.78359,0.78459
model_517,0.75881,0.7808,0.54451,0.7278899999999999,0.7559100000000001,0.80588,0.8520763374039534,0.77469,0.7914800000000001,0.7559100000000001,0.76672,0.78089
model_143,0.77995,0.77452,0.52851,0.70916,0.78727,0.76186,0.9912786020407336,0.77422,0.7639699999999999,0.78727,0.77151,0.77457
model_522,0.70295,0.77004,0.52169,0.7169399999999999,0.72564,0.81611,,0.76547,0.646,0.72564,0.67393,0.7708699999999999
model_785,0.73639,0.76374,0.50667,0.70925,0.73217,0.79551,0.9712163421665914,0.75935,0.77752,0.73217,0.74697,0.76384
model_6,0.78504,0.76463,0.50265,0.6967,0.80253,0.72693,0.9931129940545016,0.75932,0.7410899999999999,0.80253,0.7639699999999999,0.76473
model_824,0.77815,0.7559100000000001,0.49917,0.6935899999999999,0.79255,0.71944,0.984154960054318,0.75505,0.7379899999999999,0.79255,0.7601100000000001,0.7559899999999999
model_652,0.64946,0.74695,0.47615,0.7008300000000001,0.66414,0.8317,0.9760312224438028,0.74133,0.63559,0.66414,0.63413,0.74792
model_659,0.6434300000000001,0.7448100000000001,0.4651,0.69676,0.6655800000000001,0.8263,0.9471484702506232,0.7370800000000001,0.69995,0.6655800000000001,0.62232,0.7459399999999999
model_421,0.87325,0.7218100000000001,0.40306,0.6594899999999999,0.96035,0.48556000000000005,0.9929820779341688,0.7178399999999999,0.66838,0.96035,0.7773399999999999,0.72296
model_809,0.54042,0.70726,0.39433,0.66383,0.56318,0.8548100000000001,0.9660943092037172,0.70549,0.47391000000000005,0.56318,0.51153,0.70899
model_752,0.77545,0.70327,0.38251,0.66535,0.80883,0.59829,0.9907678184377277,0.70234,0.68172,0.80883,0.73425,0.7035600000000001
model_492,0.88926,0.70182,0.3604,0.63137,0.99765,0.40869,0.924656400160508,0.69992,0.6318199999999999,0.99765,0.7689,0.70317
