model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_180,0.07458,0.52979,0.04705,0.531,0.07081,0.99636,0.8514902642793513,0.53383,0.14602,0.07081,0.08334,0.53359
model_155,0.07817,0.5183800000000001,0.02019,0.5183,0.07322999999999999,0.9709399999999999,0.9185254094185076,0.52549,0.17521,0.07322999999999999,0.08983,0.5220899999999999
model_210,0.12429000000000001,0.51171,-0.00159,0.51849,0.11890999999999999,0.91053,0.914205217821122,0.51758,0.24911999999999998,0.11890999999999999,0.13863,0.51472
model_26,0.86349,0.8682,0.72116,0.82286,0.86672,0.86979,0.9955113411502048,0.86193,0.86887,0.86672,0.86205,0.86826
model_29,0.8856799999999999,0.8757,0.7391800000000001,0.8264600000000001,0.8944799999999999,0.8569700000000001,0.9946872679055414,0.8719299999999999,0.8609100000000001,0.8944799999999999,0.87454,0.8757299999999999
model_265,0.29596999999999996,0.56323,0.09302,0.5494,0.31232,0.8200700000000001,0.9290852808974916,0.56133,0.31321,0.31232,0.28369,0.5662
model_173,0.68205,0.7501899999999999,0.4736,0.70489,0.68245,0.81872,0.9157950208245016,0.74307,0.75889,0.68245,0.6914899999999999,0.75059
model_268,0.18677,0.49167,-0.054920000000000004,0.5093300000000001,0.18043,0.80804,0.9002497283047967,0.49258,0.29788000000000003,0.18043,0.20362,0.49423
model_54,0.88959,0.85698,0.69848,0.79486,0.91095,0.8031,0.9849273095707703,0.8546100000000001,0.8208200000000001,0.91095,0.86103,0.8570200000000001
model_80,0.8786,0.8499200000000001,0.68214,0.7851,0.8992399999999999,0.80071,0.9967802788727956,0.8462200000000001,0.81476,0.8992399999999999,0.85152,0.8499700000000001
model_321,0.64758,0.73698,0.44283999999999996,0.69618,0.67747,0.7993399999999999,0.9767412331494388,0.7279899999999999,0.59434,0.67747,0.61578,0.73841
model_75,0.8840600000000001,0.8518899999999999,0.68874,0.78657,0.90507,0.79878,0.9970894557255278,0.84956,0.8151,0.90507,0.85565,0.85193
model_127,0.8463799999999999,0.81752,0.6078,0.74943,0.8673299999999999,0.76783,0.9963295847793212,0.81318,0.78592,0.8673299999999999,0.81983,0.81758
model_342,0.60011,0.69471,0.35818,0.67173,0.6254,0.76769,0.9833806442048278,0.68758,0.58727,0.6254,0.58165,0.6965399999999999
model_134,0.82168,0.79532,0.5667800000000001,0.72693,0.8392700000000001,0.75147,0.995710714769598,0.79357,0.7686,0.8392700000000001,0.79886,0.79537
model_97,0.8941899999999999,0.83368,0.64572,0.75818,0.93348,0.7341,0.9965108565118372,0.82909,0.7751600000000001,0.93348,0.8434,0.8337899999999999
model_320,0.60259,0.66911,0.30353,0.6427,0.63575,0.7065,0.9861176769858944,0.66091,0.5704899999999999,0.63575,0.5755600000000001,0.6711199999999999
model_303,0.46576999999999996,0.59724,0.14539000000000002,0.56367,0.52584,0.6742,0.9844157858103376,0.58924,0.33029000000000003,0.52584,0.40129000000000004,0.60002
model_217,0.8569100000000001,0.73178,0.42641999999999997,0.6665399999999999,0.9299200000000001,0.53555,0.9420320446661964,0.7277899999999999,0.68284,0.9299200000000001,0.7756,0.73274
model_226,0.8612799999999999,0.63569,0.23271999999999998,0.58336,0.98401,0.29114,0.980434371178544,0.63576,0.58398,0.98401,0.72909,0.63758
