model,accuracy,precision,recall,f1,auc
model_122,0.85241,0.87818,0.82812,0.84921,0.85688
model_130,0.84781,0.87365,0.82743,0.84559,0.85215
model_92,0.84751,0.87544,0.82031,0.84349,0.85253
model_135,0.83875,0.86725,0.80797,0.83394,0.84191
model_138,0.83867,0.83964,0.87093,0.84492,0.84604
model_131,0.83679,0.86945,0.80252,0.83108,0.84162
model_97,0.83186,0.86277,0.80232,0.82818,0.83619
model_127,0.83174,0.85432,0.81102,0.82866,0.83667
model_104,0.83169,0.90269,0.75990,0.81935,0.83682
model_123,0.82752,0.86839,0.78693,0.82105,0.83261
model_137,0.82680,0.90078,0.74935,0.81209,0.83183
model_32,0.82626,0.84876,0.81154,0.82446,0.83152
model_101,0.82458,0.86503,0.77685,0.81585,0.82656
model_33,0.82441,0.85669,0.79389,0.82000,0.82892
model_103,0.82430,0.87319,0.77147,0.81461,0.82917
model_91,0.82167,0.85560,0.78723,0.81597,0.82695
model_45,0.82031,0.86064,0.77966,0.81359,0.82566
model_115,0.81831,0.90582,0.71761,0.79753,0.82133
model_93,0.81574,0.87043,0.75431,0.80394,0.82097
model_128,0.81488,0.82248,0.82295,0.81728,0.82135
model_136,0.81386,0.84435,0.78880,0.81121,0.81846
model_98,0.81299,0.85436,0.76958,0.80539,0.81805
model_134,0.81182,0.86191,0.75145,0.80012,0.81476
model_70,0.81155,0.89615,0.72104,0.79465,0.81687
model_132,0.81070,0.84765,0.76893,0.80206,0.81450
model_124,0.80984,0.85529,0.75438,0.79846,0.81417
model_100,0.80827,0.85184,0.75872,0.79889,0.81152
model_25,0.80460,0.90091,0.69703,0.78239,0.81050
model_113,0.80426,0.88652,0.71247,0.78455,0.80771
model_121,0.80406,0.85145,0.75155,0.79401,0.80923
model_102,0.80385,0.84216,0.75572,0.79337,0.80624
model_111,0.80299,0.83158,0.78129,0.80072,0.80564
model_106,0.80252,0.86770,0.72826,0.78600,0.80622
model_43,0.80149,0.83192,0.77410,0.79589,0.80765
model_133,0.80091,0.82549,0.77830,0.79780,0.80419
model_105,0.80001,0.84613,0.74511,0.78965,0.80314
model_107,0.79971,0.87742,0.71830,0.78229,0.80711
model_31,0.79840,0.82859,0.77096,0.79362,0.80368
model_117,0.79745,0.84689,0.74162,0.78670,0.80197
model_129,0.79697,0.83119,0.76277,0.79095,0.80165
model_94,0.79589,0.85956,0.72808,0.78305,0.80162
model_108,0.78970,0.86394,0.70909,0.77165,0.79636
model_99,0.78831,0.82317,0.75992,0.78328,0.79526
model_76,0.78804,0.83021,0.74771,0.78061,0.79360
model_90,0.78586,0.82552,0.74669,0.77835,0.79192
model_77,0.78492,0.82525,0.73312,0.77185,0.78926
model_26,0.78482,0.83762,0.72776,0.77286,0.79066
model_71,0.78432,0.84278,0.72369,0.77246,0.79104
model_109,0.78348,0.85071,0.70686,0.76432,0.78723
model_119,0.78199,0.86076,0.69555,0.75905,0.78483
model_17,0.78061,0.84862,0.70076,0.76240,0.78657
model_16,0.77807,0.85735,0.68010,0.75471,0.78347
model_120,0.77693,0.82283,0.72845,0.76675,0.78163
model_118,0.77688,0.88612,0.65922,0.74475,0.78354
model_47,0.77531,0.82517,0.72562,0.76421,0.78259
model_59,0.77452,0.83568,0.70464,0.75944,0.78060
model_78,0.77354,0.80383,0.74860,0.76926,0.77917
model_46,0.77016,0.81498,0.72307,0.75931,0.77643
model_125,0.76684,0.79378,0.87286,0.80225,0.78043
model_48,0.76425,0.80070,0.72969,0.75624,0.77082
model_114,0.76423,0.82483,0.70155,0.74867,0.77107
model_58,0.76294,0.80786,0.71218,0.75101,0.76916
model_29,0.76093,0.80751,0.70046,0.74606,0.76472
model_110,0.75964,0.83647,0.67956,0.73414,0.76566
model_88,0.75889,0.79917,0.71668,0.75006,0.76499
model_72,0.75885,0.80122,0.74695,0.75756,0.76582
model_64,0.75570,0.80439,0.74052,0.75286,0.76313
model_116,0.75567,0.81071,0.69441,0.74239,0.76095
model_62,0.75436,0.86126,0.62485,0.71666,0.76155
model_65,0.75372,0.82038,0.72738,0.74832,0.76210
model_139,0.75324,0.81685,0.67308,0.73039,0.75896
model_126,0.75059,0.81510,0.81893,0.77661,0.76664
model_11,0.74648,0.81637,0.66332,0.72369,0.75191
model_27,0.74645,0.78835,0.70627,0.73861,0.74840
model_10,0.74564,0.78740,0.69661,0.73343,0.74980
model_18,0.74376,0.79174,0.68137,0.72716,0.74862
model_61,0.74371,0.82783,0.63493,0.71242,0.75017
model_63,0.74329,0.81447,0.65271,0.71774,0.74914
model_89,0.74318,0.78854,0.69366,0.73149,0.75013
model_95,0.74072,0.76841,0.72437,0.73910,0.74233
model_66,0.73959,0.75906,0.75586,0.74500,0.74868
model_23,0.73938,0.79332,0.68499,0.72831,0.74601
model_28,0.73840,0.78366,0.67587,0.72087,0.74288
model_112,0.73133,0.78550,0.66766,0.71594,0.73493
model_60,0.72903,0.78390,0.66828,0.71387,0.73542
model_2,0.72572,0.74744,0.71451,0.72395,0.73122
model_20,0.72410,0.73847,0.71044,0.71850,0.72738
model_74,0.72113,0.76929,0.65914,0.70394,0.72591
model_3,0.71739,0.72646,0.72167,0.71856,0.72146
model_42,0.71595,0.74449,0.68509,0.70841,0.72115
model_38,0.71586,0.74090,0.68940,0.70961,0.71961
model_1,0.71370,0.72485,0.71243,0.71324,0.71761
model_30,0.70969,0.75417,0.65111,0.69256,0.71584
model_41,0.70964,0.73222,0.68138,0.70209,0.71331
model_40,0.70832,0.73104,0.67898,0.70062,0.71131
model_12,0.70829,0.74623,0.65443,0.69238,0.71208
model_24,0.70721,0.73835,0.68281,0.70238,0.71211
model_15,0.70584,0.72020,0.69051,0.70078,0.70845
model_57,0.70566,0.75225,0.63819,0.68518,0.70944
model_22,0.70488,0.74226,0.65031,0.68877,0.70937
model_8,0.70409,0.70854,0.71951,0.70904,0.70810
model_69,0.70211,0.74287,0.68199,0.70306,0.70694
model_44,0.69610,0.71489,0.67492,0.68867,0.70104
model_68,0.69158,0.73835,0.63956,0.67710,0.69771
model_55,0.68138,0.72663,0.60092,0.65121,0.68574
model_19,0.68125,0.71169,0.63267,0.66468,0.68451
model_73,0.68010,0.74646,0.58870,0.65152,0.68540
model_14,0.67622,0.68452,0.67775,0.67724,0.67694
